Underlying,Call TSL,Put TSL,Total Return,2021 Return,2022 Return,2023 Return,2024 Return,Max Drawdown %,Max Profit %,Consecutive Drawdown in Number,Consecutive Profit in Number,Consecutive Drawdown in %,Consecutive Profit iin %,Win Avg,Loss Avg,Total Avg,Win Count,Loss Count,No of Positive Months,No of Negative Months
BANKNIFTY,100,100,103.42,34.25,26.59,19.8,22.77,-4.36,7.06,7,5,-9.69,11.6,1.9,-1.06,0.58,99,80,33,9
BANKNIFTY,100,110,102.18,35.92,25.27,19.22,21.76,-4.36,6.97,7,5,-10.06,12.95,1.96,-1.1,0.57,98,81,33,9
BANKNIFTY,100,120,105.96,36.58,31.84,18.67,18.88,-4.36,6.89,7,6,-10.64,15.15,2.0,-1.15,0.59,99,80,33,9
BANKNIFTY,100,130,114.45,46.4,32.09,16.36,19.61,-4.36,6.8,7,6,-11.14,17.88,2.03,-1.2,0.64,102,77,34,8
BANKNIFTY,100,140,108.02,44.92,30.96,12.97,19.18,-4.36,6.84,7,6,-11.68,19.26,2.04,-1.29,0.6,102,77,33,9
BANKNIFTY,100,150,104.47,44.0,28.28,12.89,19.3,-4.36,7.09,7,6,-12.11,19.24,2.05,-1.31,0.58,101,78,35,7
BANKNIFTY,100,160,103.22,45.97,27.35,10.77,19.13,-4.36,7.09,7,6,-12.49,19.19,2.07,-1.4,0.58,102,77,31,11
BANKNIFTY,100,170,95.29,45.98,25.32,6.33,17.66,-4.36,7.09,7,6,-11.8,19.29,2.16,-1.4,0.53,97,82,28,14
BANKNIFTY,100,180,95.35,48.97,22.32,7.79,16.26,-4.6,7.09,7,6,-11.31,19.27,2.13,-1.45,0.53,99,80,27,15
BANKNIFTY,100,190,89.7,47.78,19.13,4.47,18.31,-4.9,7.09,9,6,-14.23,19.18,2.13,-1.56,0.5,100,79,28,14
BANKNIFTY,100,200,86.76,45.7,24.01,0.89,16.16,-4.96,7.09,9,6,-14.15,19.18,2.13,-1.64,0.48,101,78,28,14
BANKNIFTY,100,50,92.76,34.82,23.16,21.62,13.16,-4.36,7.3,7,9,-7.46,15.33,1.92,-0.96,0.52,92,87,33,9
BANKNIFTY,100,60,104.07,33.94,30.76,25.81,13.56,-4.36,7.27,7,9,-7.32,14.54,1.83,-0.96,0.58,99,80,32,10
BANKNIFTY,100,70,97.29,30.16,28.83,24.92,13.39,-4.36,7.14,7,5,-8.23,10.94,1.87,-0.99,0.54,96,83,32,10
BANKNIFTY,100,80,104.14,31.96,29.77,25.39,17.02,-4.36,7.1,7,5,-8.39,10.63,1.89,-1.0,0.58,98,81,33,9
BANKNIFTY,100,90,103.93,27.65,29.81,22.76,23.7,-4.36,7.09,7,5,-8.93,11.48,1.89,-1.05,0.58,99,80,34,8
BANKNIFTY,110,100,117.1,40.54,26.74,23.63,26.19,-4.36,7.06,7,5,-8.55,11.11,2.05,-1.08,0.65,99,80,34,8
BANKNIFTY,110,110,115.86,42.21,25.41,23.06,25.18,-4.36,6.97,7,5,-9.26,10.73,2.11,-1.12,0.65,98,81,33,9
