Underlying,Call TSL,Put TSL,Total Return,2021 Return,2022 Return,2023 Return,2024 Return,Max Drawdown %,Max Profit %,Consecutive Drawdown in Number,Consecutive Profit in Number,Consecutive Drawdown in %,Consecutive Profit iin %,Win Avg,Loss Avg,Total Avg,Win Count,Loss Count,No of Positive Months,No of Negative Months
BANKNIFTY,100,100,3.45,-0.93,3.13,0.35,0.9,-2.79,2.85,7,9,-5.38,5.38,0.5,-0.73,0.02,102,65,21,21
BANKNIFTY,100,110,5.09,0.7,4.57,-2.24,2.06,-2.86,2.61,7,8,-5.74,5.41,0.49,-0.69,0.03,102,65,24,18
BANKNIFTY,100,120,8.79,0.87,5.53,-0.96,3.35,-2.44,2.46,4,8,-5.05,6.2,0.48,-0.66,0.05,105,62,22,20
BANKNIFTY,100,130,7.42,0.28,5.52,-1.01,2.63,-2.47,2.32,6,8,-4.65,5.9,0.45,-0.61,0.04,103,64,21,21
BANKNIFTY,100,140,4.58,-0.51,4.68,-3.11,3.52,-2.56,2.32,6,8,-4.75,5.54,0.42,-0.61,0.03,103,64,23,19
BANKNIFTY,100,150,6.52,1.37,4.23,-3.21,4.13,-2.74,2.32,5,8,-4.09,5.34,0.42,-0.57,0.04,103,64,24,18
BANKNIFTY,100,160,5.42,1.51,4.11,-4.47,4.27,-3.02,2.32,5,8,-4.27,5.02,0.41,-0.58,0.03,103,64,24,18
BANKNIFTY,100,170,6.64,2.18,3.48,-3.34,4.32,-3.21,2.32,5,8,-3.21,4.85,0.41,-0.56,0.04,103,64,24,18
BANKNIFTY,100,180,6.74,4.15,2.93,-4.41,4.06,-3.29,2.32,5,8,-3.29,4.46,0.41,-0.55,0.04,103,64,25,17
BANKNIFTY,100,190,6.93,5.75,2.92,-5.47,3.73,-3.51,2.32,5,8,-3.51,4.14,0.41,-0.55,0.04,103,64,26,16
BANKNIFTY,100,200,8.55,6.38,2.91,-4.88,4.13,-3.65,2.32,5,8,-3.65,4.14,0.4,-0.52,0.05,103,64,25,17
BANKNIFTY,100,50,-4.16,8.76,-8.09,-8.48,3.66,-2.65,3.56,8,11,-9.53,6.82,0.81,-0.97,-0.02,89,78,20,22
BANKNIFTY,100,60,-1.84,5.18,-5.85,-5.43,4.26,-2.61,3.56,8,8,-8.06,5.86,0.72,-0.85,-0.01,89,78,20,22
BANKNIFTY,100,70,5.18,6.15,-4.52,-0.04,3.59,-2.61,3.45,13,9,-8.0,8.48,0.64,-0.72,0.03,92,75,23,19
BANKNIFTY,100,80,6.23,4.05,-1.09,0.64,2.63,-2.61,3.28,8,9,-4.8,7.16,0.61,-0.66,0.04,92,75,20,22
BANKNIFTY,100,90,7.32,2.27,1.8,1.57,1.67,-2.68,3.0,7,9,-5.17,6.06,0.53,-0.69,0.04,100,67,21,21
BANKNIFTY,110,100,-0.17,-3.01,1.55,0.28,1.01,-2.85,2.85,4,9,-4.54,4.46,0.49,-0.75,-0.0,101,66,21,21
BANKNIFTY,110,110,1.47,-1.39,2.99,-2.3,2.17,-2.91,2.61,4,7,-4.9,5.19,0.48,-0.71,0.01,101,66,24,18
BANKNIFTY,110,120,5.17,-1.21,3.95,-1.02,3.46,-2.96,2.46,4,8,-4.21,5.98,0.47,-0.69,0.03,104,63,23,19
BANKNIFTY,110,130,3.8,-1.8,3.94,-1.07,2.74,-2.54,2.3,5,8,-3.81,5.68,0.43,-0.64,0.02,103,64,23,19
BANKNIFTY,110,140,0.96,-2.6,3.1,-3.17,3.63,-2.67,2.27,5,8,-3.91,5.32,0.41,-0.61,0.01,101,66,19,23
BANKNIFTY,110,150,2.9,-0.71,2.65,-3.27,4.24,-2.85,2.27,5,8,-3.25,5.12,0.4,-0.57,0.02,101,66,22,20
BANKNIFTY,110,160,1.8,-0.57,2.53,-4.53,4.37,-3.13,2.27,5,8,-3.44,4.8,0.39,-0.58,0.01,102,65,22,20
BANKNIFTY,110,170,3.02,0.1,1.9,-3.4,4.42,-3.32,2.27,5,8,-3.32,4.63,0.38,-0.55,0.02,102,65,22,20
BANKNIFTY,110,180,3.12,2.06,1.35,-4.47,4.17,-3.4,2.27,5,8,-3.4,4.24,0.38,-0.55,0.02,102,65,23,19
BANKNIFTY,110,190,3.31,3.66,1.34,-5.53,3.83,-3.61,2.27,5,7,-3.61,4.03,0.38,-0.54,0.02,102,65,24,18
BANKNIFTY,110,200,4.93,4.3,1.33,-4.94,4.24,-3.76,2.27,5,7,-3.76,4.03,0.37,-0.51,0.03,102,65,23,19
BANKNIFTY,110,50,-7.78,6.67,-9.67,-8.54,3.77,-2.89,3.56,8,11,-9.7,6.49,0.82,-1.01,-0.05,88,79,21,21
