Underlying,Call TSL,Put TSL,Total Return,2021 Return,2022 Return,2023 Return,2024 Return,Max Drawdown %,Max Profit %,Consecutive Drawdown in Number,Consecutive Profit in Number,Consecutive Drawdown in %,Consecutive Profit iin %,Win Avg,Loss Avg,Total Avg,Win Count,Loss Count,No of Positive Months,No of Negative Months
BANKNIFTY,100,100,62.65,12.16,20.36,15.69,14.44,-2.71,5.44,3,9,-5.02,10.88,1.1,-1.01,0.36,114,62,32,10
BANKNIFTY,100,110,57.81,11.65,18.97,13.24,13.96,-2.92,5.44,3,8,-3.74,9.61,1.07,-0.99,0.33,113,63,32,10
BANKNIFTY,100,120,58.55,13.18,19.18,12.6,13.6,-2.78,5.44,4,9,-3.8,11.03,1.03,-0.95,0.33,114,62,34,8
BANKNIFTY,100,130,54.64,10.14,17.25,14.21,13.03,-2.56,5.44,4,9,-3.74,11.34,1.0,-1.0,0.31,115,61,32,10
BANKNIFTY,100,140,53.08,9.62,15.12,15.37,12.97,-2.63,5.44,4,9,-4.05,11.21,1.02,-0.92,0.3,111,65,33,9
BANKNIFTY,100,150,55.39,11.06,15.82,16.29,12.22,-2.81,5.44,4,9,-4.36,11.18,0.99,-0.92,0.31,114,62,31,11
BANKNIFTY,100,160,55.32,12.71,16.28,15.07,11.26,-2.96,5.44,4,9,-4.71,11.01,0.98,-0.91,0.31,114,62,30,12
BANKNIFTY,100,170,53.8,14.77,15.0,13.9,10.14,-3.15,5.44,4,9,-5.34,11.0,0.96,-0.98,0.31,117,59,30,12
BANKNIFTY,100,180,52.14,13.58,13.97,15.04,9.55,-3.41,5.44,4,9,-5.85,10.9,0.97,-0.97,0.3,115,61,32,10
BANKNIFTY,100,190,49.72,11.69,14.04,15.14,8.86,-2.95,5.44,4,9,-5.52,10.74,0.96,-0.96,0.28,114,62,31,11
BANKNIFTY,100,200,52.12,9.81,17.34,14.64,10.33,-2.95,5.44,4,9,-5.91,10.6,0.94,-0.95,0.3,116,60,31,11
BANKNIFTY,100,50,46.01,7.29,10.09,16.83,11.8,-3.9,4.84,6,9,-5.91,11.79,1.34,-1.19,0.26,101,75,29,13
BANKNIFTY,100,60,55.97,16.41,9.73,17.46,12.37,-3.34,4.84,7,12,-5.24,14.84,1.27,-1.06,0.32,104,72,28,14
BANKNIFTY,100,70,54.99,15.24,12.39,16.86,10.49,-2.72,4.76,4,12,-4.51,13.85,1.24,-1.0,0.31,103,73,29,13
BANKNIFTY,100,80,58.16,13.73,17.92,14.82,11.69,-2.72,5.03,4,12,-4.82,13.3,1.17,-1.07,0.33,110,66,30,12
BANKNIFTY,100,90,64.12,11.59,19.5,19.3,13.73,-2.63,5.36,4,8,-5.03,11.29,1.17,-0.98,0.36,110,66,30,12
