Underlying,Call TSL,Put TSL,Total Return,2021 Return,2022 Return,2023 Return,2024 Return,Max Drawdown %,Max Profit %,Consecutive Drawdown in Number,Consecutive Profit in Number,Consecutive Drawdown in %,Consecutive Profit iin %,Win Avg,Loss Avg,Total Avg,Win Count,Loss Count,No of Positive Months,No of Negative Months
BANKNIFTY,100,100,9.7,-13.21,13.88,5.26,3.77,-18.45,31.34,3,12,-18.47,31.84,1.34,-2.93,0.09,73,30,25,11
BANKNIFTY,100,110,11.36,-11.57,12.85,5.87,4.21,-18.45,31.34,3,13,-18.68,31.99,1.27,-3.31,0.11,77,26,27,9
BANKNIFTY,100,120,10.94,-11.57,12.19,6.18,4.14,-18.45,31.34,4,19,-18.74,31.99,1.21,-3.54,0.11,79,24,26,10
BANKNIFTY,100,130,10.81,-12.32,12.08,7.24,3.8,-18.45,31.34,4,20,-18.86,31.99,1.2,-3.72,0.1,80,23,26,10
BANKNIFTY,100,140,8.96,-12.99,11.79,6.56,3.6,-18.45,31.34,4,20,-19.01,31.99,1.18,-3.92,0.09,81,22,27,9
BANKNIFTY,100,150,8.11,-13.46,11.45,6.59,3.53,-18.45,31.34,4,20,-19.63,31.99,1.17,-4.17,0.08,82,21,27,9
BANKNIFTY,100,160,7.65,-13.92,10.68,6.88,4.01,-18.45,31.34,4,20,-19.73,31.99,1.16,-4.16,0.07,82,21,27,9
BANKNIFTY,100,170,7.25,-14.02,10.29,6.64,4.34,-18.45,31.34,4,20,-19.75,31.99,1.14,-4.37,0.07,83,20,29,7
BANKNIFTY,100,180,9.09,-12.3,9.72,7.12,4.54,-18.45,31.34,3,20,-19.75,31.99,1.1,-5.05,0.09,86,17,29,7
BANKNIFTY,100,190,9.03,-11.9,9.25,7.03,4.65,-18.45,31.34,3,20,-19.75,31.99,1.09,-5.37,0.09,87,16,29,7
BANKNIFTY,100,200,9.48,-11.86,9.0,7.69,4.65,-18.45,31.34,3,20,-19.75,31.99,1.1,-5.37,0.09,87,16,29,7
BANKNIFTY,100,50,20.47,-14.63,20.3,9.16,5.64,-17.96,31.34,3,8,-20.14,32.05,1.57,-2.84,0.2,71,32,25,11
BANKNIFTY,100,60,20.98,-12.36,21.42,6.51,5.42,-17.99,31.34,3,8,-18.86,31.39,1.49,-2.78,0.2,72,31,27,9
BANKNIFTY,100,70,15.59,-14.07,20.82,3.64,5.2,-18.2,31.34,3,10,-18.22,31.39,1.44,-2.98,0.15,73,30,26,10
BANKNIFTY,100,80,12.5,-15.75,18.8,4.93,4.52,-18.66,31.34,4,10,-18.68,31.39,1.42,-2.89,0.12,72,31,26,10
BANKNIFTY,100,90,10.35,-15.82,15.84,6.33,4.0,-18.45,31.34,3,10,-18.47,31.5,1.37,-2.98,0.1,73,30,25,11
BANKNIFTY,110,100,7.4,-14.15,14.01,3.95,3.59,-18.45,31.26,3,10,-18.77,31.76,1.33,-2.85,0.07,72,31,26,10
BANKNIFTY,110,110,9.07,-12.51,12.99,4.56,4.03,-18.45,31.26,3,13,-19.04,31.91,1.24,-3.33,0.09,77,26,28,8
BANKNIFTY,110,120,8.64,-12.51,12.32,4.87,3.96,-18.45,31.26,3,14,-19.1,31.91,1.19,-3.54,0.08,79,24,28,8
BANKNIFTY,110,130,8.51,-13.26,12.21,5.93,3.62,-18.45,31.26,3,14,-19.22,31.91,1.16,-3.89,0.08,81,22,28,8
BANKNIFTY,110,140,6.66,-13.93,11.92,5.25,3.42,-18.45,31.26,3,12,-19.37,31.91,1.15,-3.92,0.06,81,22,29,7
BANKNIFTY,110,150,5.81,-14.4,11.58,5.28,3.35,-18.45,31.26,3,12,-19.99,31.91,1.14,-4.16,0.06,82,21,29,7
BANKNIFTY,110,160,5.35,-14.86,10.81,5.57,3.83,-18.45,31.26,3,12,-20.08,31.91,1.12,-4.37,0.05,83,20,29,7
BANKNIFTY,110,170,4.95,-14.96,10.42,5.33,4.17,-18.45,31.26,3,12,-20.11,31.91,1.1,-4.6,0.05,84,19,30,6
BANKNIFTY,110,180,6.79,-13.24,9.85,5.81,4.36,-18.45,31.26,3,13,-20.11,31.91,1.08,-5.06,0.07,86,17,30,6
BANKNIFTY,110,190,6.73,-12.84,9.38,5.72,4.48,-18.45,31.26,3,13,-20.11,31.91,1.07,-5.37,0.07,87,16,30,6
BANKNIFTY,110,200,7.18,-12.8,9.13,6.38,4.48,-18.45,31.26,3,13,-20.11,31.91,1.07,-5.38,0.07,87,16,30,6
BANKNIFTY,110,50,18.17,-15.57,20.44,7.85,5.46,-17.96,31.26,4,8,-20.2,31.97,1.54,-2.86,0.18,71,32,25,11
BANKNIFTY,110,60,18.68,-13.3,21.55,5.2,5.24,-17.99,31.26,3,9,-17.99,31.31,1.47,-2.81,0.18,72,31,28,8
BANKNIFTY,110,70,13.29,-15.01,20.95,2.33,5.02,-18.2,31.26,3,10,-18.29,31.31,1.42,-3.01,0.13,73,30,27,9
BANKNIFTY,110,80,10.2,-16.69,18.94,3.62,4.34,-18.66,31.26,4,10,-18.66,31.31,1.4,-2.92,0.1,72,31,27,9
BANKNIFTY,110,90,8.05,-16.76,15.98,5.02,3.82,-18.45,31.26,3,10,-18.72,31.42,1.34,-3.0,0.08,73,30,26,10
BANKNIFTY,120,100,6.75,-14.39,13.65,4.01,3.47,-18.45,31.21,3,10,-18.89,31.71,1.31,-2.96,0.07,73,30,27,9
BANKNIFTY,120,110,8.42,-12.75,12.63,4.63,3.91,-18.45,31.21,3,13,-19.16,31.86,1.22,-3.47,0.08,78,25,29,7
BANKNIFTY,120,120,7.99,-12.75,11.96,4.94,3.85,-18.45,31.21,3,12,-19.22,31.86,1.2,-3.41,0.08,78,25,28,8
BANKNIFTY,120,130,7.86,-13.5,11.85,6.0,3.5,-18.45,31.21,3,12,-19.34,31.86,1.17,-3.74,0.08,80,23,28,8
BANKNIFTY,120,140,6.01,-14.17,11.56,5.31,3.31,-18.45,31.21,3,12,-19.49,31.86,1.14,-3.93,0.06,81,22,29,7
BANKNIFTY,120,150,5.16,-14.64,11.22,5.34,3.24,-18.45,31.21,3,12,-20.11,31.86,1.15,-3.98,0.05,81,22,29,7
BANKNIFTY,120,160,4.7,-15.1,10.45,5.63,3.71,-18.45,31.21,3,12,-20.2,31.86,1.13,-4.17,0.05,82,21,29,7
BANKNIFTY,120,170,4.3,-15.2,10.06,5.39,4.05,-18.45,31.21,3,12,-20.23,31.86,1.11,-4.38,0.04,83,20,30,6
BANKNIFTY,120,180,6.14,-13.48,9.49,5.87,4.25,-18.45,31.21,3,13,-20.23,31.86,1.09,-4.79,0.06,85,18,30,6
BANKNIFTY,120,190,6.08,-13.08,9.02,5.78,4.36,-18.45,31.21,3,13,-20.23,31.86,1.07,-5.08,0.06,86,17,30,6
BANKNIFTY,120,200,6.53,-13.04,8.77,6.45,4.36,-18.45,31.21,3,13,-20.23,31.86,1.08,-5.08,0.06,86,17,30,6
BANKNIFTY,120,50,17.52,-15.81,20.08,7.91,5.34,-17.96,31.21,4,8,-20.2,31.92,1.56,-2.78,0.17,70,33,25,11
BANKNIFTY,120,60,18.03,-13.54,21.19,5.26,5.12,-17.99,31.21,3,9,-17.99,31.26,1.47,-2.82,0.18,72,31,28,8
