Underlying,Call TSL,Put TSL,Total Return,2021 Return,2022 Return,2023 Return,2024 Return,Max Drawdown %,Max Profit %,Consecutive Drawdown in Number,Consecutive Profit in Number,Consecutive Drawdown in %,Consecutive Profit iin %,Win Avg,Loss Avg,Total Avg,Win Count,Loss Count,No of Positive Months,No of Negative Months
NIFTY,110,70,-1.45,0.39,7.94,-7.41,-2.37,-2.58,3.05,6,6,-5.06,4.4,0.52,-0.73,-0.01,81,60,23,23
NIFTY,110,80,-1.39,-0.14,5.89,-5.72,-1.42,-2.66,2.87,4,6,-4.22,3.93,0.46,-0.66,-0.01,82,59,23,23
NIFTY,110,90,0.69,2.55,4.63,-6.29,-0.2,-2.64,2.67,5,6,-4.77,3.66,0.44,-0.56,0.0,80,61,24,22
NIFTY,120,100,2.41,2.89,5.13,-5.57,-0.05,-1.97,2.54,5,6,-3.15,3.18,0.43,-0.48,0.02,77,64,29,17
NIFTY,120,110,3.21,2.11,3.73,-2.23,-0.4,-1.97,2.43,4,6,-3.24,3.06,0.39,-0.49,0.02,82,59,28,18
NIFTY,120,120,-0.62,0.82,2.28,-2.43,-1.29,-1.97,2.23,4,6,-3.39,2.94,0.4,-0.48,-0.0,76,65,26,20
NIFTY,120,130,-2.29,0.88,1.07,-2.19,-2.04,-1.97,2.13,4,6,-3.35,2.82,0.37,-0.5,-0.02,78,63,24,22
NIFTY,120,140,-3.61,0.52,0.24,-1.72,-2.65,-1.97,2.01,3,6,-3.83,2.78,0.37,-0.52,-0.03,79,62,23,23
NIFTY,120,150,-4.34,0.31,-0.39,-1.99,-2.27,-1.97,1.84,3,6,-3.83,2.65,0.36,-0.52,-0.03,78,63,22,24
NIFTY,120,160,-4.85,0.18,-0.8,-2.18,-2.05,-1.97,1.71,3,6,-3.68,2.53,0.36,-0.51,-0.03,77,64,22,24
NIFTY,120,170,-5.27,0.22,-0.95,-2.54,-2.0,-2.07,1.58,3,6,-4.03,2.46,0.37,-0.49,-0.04,75,66,23,23
NIFTY,120,180,-5.1,0.35,-0.62,-2.67,-2.16,-2.26,1.52,3,7,-4.22,3.22,0.35,-0.52,-0.04,78,63,23,23
NIFTY,120,190,-5.5,0.24,-0.71,-2.43,-2.59,-2.34,1.32,3,7,-4.31,2.98,0.36,-0.51,-0.04,77,64,23,23
NIFTY,120,200,-6.74,-0.4,-0.87,-2.44,-3.02,-2.72,1.24,3,7,-4.69,3.27,0.35,-0.54,-0.05,78,63,23,23
NIFTY,120,210,-6.61,-0.75,-0.54,-2.21,-3.12,-2.85,1.14,3,7,-4.81,3.32,0.36,-0.53,-0.05,77,64,24,22
NIFTY,120,220,-7.58,-1.14,-0.51,-2.25,-3.67,-2.99,0.91,3,7,-4.96,3.1,0.36,-0.53,-0.05,76,65,24,22
NIFTY,120,230,-6.23,0.17,-0.5,-2.06,-3.83,-3.13,0.91,3,7,-5.09,3.09,0.35,-0.52,-0.04,77,64,25,21
NIFTY,120,240,-6.54,0.33,-0.69,-2.06,-4.12,-3.3,0.91,3,7,-5.27,2.98,0.35,-0.52,-0.05,77,64,25,21
NIFTY,120,250,-6.96,0.24,-0.72,-1.99,-4.48,-3.3,0.91,3,7,-5.27,2.67,0.34,-0.52,-0.05,77,64,25,21
NIFTY,120,50,2.69,2.25,9.05,-5.89,-2.73,-3.99,3.36,8,5,-6.16,5.62,0.72,-0.68,0.02,70,71,23,23
NIFTY,120,60,-2.44,2.07,7.07,-8.55,-3.03,-4.14,3.18,7,5,-5.02,4.93,0.62,-0.7,-0.02,73,68,25,21
NIFTY,120,70,0.04,1.08,8.97,-7.88,-2.13,-2.86,3.05,6,5,-4.79,4.4,0.54,-0.67,0.0,78,63,22,24
NIFTY,120,80,0.1,0.55,6.92,-6.2,-1.18,-2.94,2.87,4,5,-4.23,3.93,0.47,-0.6,0.0,79,62,23,23
NIFTY,120,90,2.18,3.24,5.66,-6.76,0.04,-1.97,2.67,5,5,-4.78,3.66,0.45,-0.5,0.02,77,64,26,20
NIFTY,130,100,2.21,3.64,6.16,-6.05,-1.55,-2.1,2.54,5,6,-3.26,3.18,0.42,-0.5,0.02,79,62,29,17
NIFTY,130,110,3.01,2.86,4.75,-2.71,-1.9,-2.1,2.43,4,6,-3.35,3.06,0.4,-0.5,0.02,82,59,27,19
NIFTY,130,120,-0.81,1.57,3.31,-2.91,-2.79,-2.1,2.23,4,6,-3.5,2.94,0.4,-0.49,-0.01,76,65,24,22
NIFTY,130,130,-2.49,1.63,2.09,-2.67,-3.54,-2.1,2.13,4,6,-3.59,2.82,0.38,-0.51,-0.02,78,63,23,23
NIFTY,130,140,-3.81,1.27,1.27,-2.19,-4.15,-2.1,2.01,3,6,-4.07,2.78,0.37,-0.53,-0.03,79,62,22,24
NIFTY,130,150,-4.54,1.06,0.64,-2.47,-3.77,-2.1,1.84,3,6,-4.07,2.65,0.37,-0.53,-0.03,78,63,22,24
NIFTY,130,160,-5.05,0.94,0.23,-2.66,-3.55,-2.1,1.71,3,6,-3.92,2.53,0.36,-0.52,-0.04,77,64,22,24
NIFTY,130,170,-5.46,0.97,0.08,-3.02,-3.5,-2.18,1.58,3,6,-4.27,2.46,0.37,-0.5,-0.04,75,66,23,23
NIFTY,130,180,-5.3,1.1,0.41,-3.15,-3.66,-2.37,1.52,3,7,-4.46,2.99,0.36,-0.53,-0.04,78,63,23,23
NIFTY,130,190,-5.69,0.99,0.31,-2.9,-4.09,-2.45,1.32,3,6,-4.55,2.38,0.36,-0.51,-0.04,76,65,22,24
NIFTY,130,200,-6.94,0.35,0.15,-2.92,-4.52,-2.83,1.24,3,7,-4.93,3.04,0.35,-0.55,-0.05,78,63,22,24
NIFTY,130,210,-6.81,0.0,0.49,-2.69,-4.62,-2.96,1.14,3,7,-5.05,3.1,0.36,-0.54,-0.05,77,64,23,23
NIFTY,130,220,-7.78,-0.39,0.51,-2.73,-5.17,-3.1,0.91,3,7,-5.2,2.87,0.36,-0.54,-0.06,76,65,23,23
NIFTY,130,230,-6.43,0.92,0.52,-2.54,-5.33,-3.24,0.91,3,7,-5.33,2.86,0.35,-0.52,-0.05,77,64,24,22
NIFTY,130,240,-6.74,1.08,0.34,-2.54,-5.62,-3.41,0.91,3,7,-5.51,2.75,0.35,-0.52,-0.05,77,64,24,22
NIFTY,130,250,-7.16,0.99,0.3,-2.47,-5.98,-3.41,0.91,3,7,-5.51,2.44,0.34,-0.53,-0.05,77,64,23,23
NIFTY,130,50,2.49,3.0,10.08,-6.37,-4.23,-4.12,3.36,8,5,-6.6,5.62,0.71,-0.71,0.02,72,69,22,24
NIFTY,130,60,-2.64,2.82,8.1,-9.03,-4.53,-4.27,3.18,7,5,-5.26,4.93,0.61,-0.73,-0.02,75,66,24,22
NIFTY,130,70,-0.15,1.84,10.0,-8.36,-3.63,-3.08,3.05,6,5,-5.23,4.4,0.54,-0.69,-0.0,79,62,23,23
NIFTY,130,80,-0.1,1.3,7.95,-6.67,-2.68,-3.15,2.87,4,5,-4.26,3.93,0.47,-0.62,-0.0,80,61,24,22
NIFTY,130,90,1.98,4.0,6.69,-7.24,-1.46,-2.1,2.67,5,5,-4.81,3.66,0.45,-0.51,0.01,77,64,26,20
NIFTY,140,100,3.93,3.45,6.45,-4.74,-1.23,-2.22,2.54,5,6,-3.03,3.18,0.41,-0.49,0.03,81,60,28,18
NIFTY,140,110,4.73,2.67,5.04,-1.4,-1.59,-2.22,2.43,4,6,-3.16,3.06,0.39,-0.49,0.03,84,57,26,20
NIFTY,140,120,0.91,1.38,3.6,-1.6,-2.48,-2.22,2.23,4,6,-3.16,2.94,0.39,-0.47,0.01,78,63,24,22
NIFTY,140,130,-0.77,1.44,2.38,-1.37,-3.23,-2.22,2.13,3,6,-3.23,2.82,0.37,-0.49,-0.01,79,62,24,22
NIFTY,140,140,-2.09,1.08,1.56,-0.89,-3.84,-2.22,2.01,3,6,-3.38,2.78,0.37,-0.51,-0.01,80,61,23,23
NIFTY,140,150,-2.82,0.87,0.93,-1.16,-3.46,-2.22,1.84,3,6,-3.38,2.65,0.36,-0.51,-0.02,79,62,23,23
NIFTY,140,160,-3.33,0.75,0.52,-1.36,-3.24,-2.22,1.71,3,6,-2.87,2.53,0.36,-0.5,-0.02,78,63,23,23
NIFTY,140,170,-3.74,0.78,0.37,-1.71,-3.18,-2.22,1.58,3,6,-2.94,2.46,0.37,-0.48,-0.03,76,65,23,23
NIFTY,140,180,-3.58,0.91,0.7,-1.84,-3.35,-2.22,1.52,3,6,-3.13,2.38,0.36,-0.5,-0.03,78,63,22,24
NIFTY,140,190,-3.97,0.8,0.6,-1.6,-3.78,-2.22,1.32,3,6,-3.22,2.38,0.36,-0.49,-0.03,77,64,22,24
NIFTY,140,200,-5.22,0.16,0.44,-1.62,-4.21,-2.22,1.24,3,7,-3.6,2.89,0.35,-0.53,-0.04,79,62,23,23
NIFTY,140,210,-5.09,-0.18,0.78,-1.38,-4.3,-2.22,1.14,3,7,-3.72,2.95,0.35,-0.51,-0.04,78,63,24,22
NIFTY,140,220,-6.06,-0.58,0.81,-1.42,-4.86,-2.22,0.91,3,7,-3.87,2.72,0.35,-0.52,-0.04,77,64,24,22
NIFTY,140,230,-4.71,0.73,0.81,-1.24,-5.01,-2.22,0.91,3,7,-4.0,2.71,0.34,-0.5,-0.03,78,63,25,21
NIFTY,140,240,-5.02,0.89,0.63,-1.23,-5.31,-2.22,0.91,3,7,-4.17,2.6,0.34,-0.5,-0.04,78,63,24,22
NIFTY,140,250,-5.44,0.8,0.59,-1.16,-5.67,-2.22,0.91,3,7,-4.17,2.38,0.34,-0.5,-0.04,78,63,24,22
NIFTY,140,50,4.21,2.81,10.37,-5.06,-3.91,-4.25,3.36,8,8,-6.98,8.65,0.7,-0.73,0.03,75,66,23,23
NIFTY,140,60,-0.92,2.64,8.39,-7.72,-4.22,-4.39,3.18,6,6,-5.63,5.96,0.59,-0.75,-0.01,78,63,25,21
NIFTY,140,70,1.57,1.65,10.29,-7.05,-3.32,-3.19,3.05,6,8,-5.61,6.53,0.53,-0.7,0.01,82,59,25,21
NIFTY,140,80,1.62,1.11,8.24,-5.37,-2.36,-3.27,2.87,4,5,-4.12,3.93,0.47,-0.62,0.01,82,59,26,20
NIFTY,140,90,3.7,3.81,6.98,-5.93,-1.15,-2.22,2.67,5,5,-4.67,3.66,0.45,-0.51,0.03,79,62,26,20
NIFTY,150,100,4.36,3.87,6.54,-4.68,-1.37,-2.45,2.54,5,6,-3.4,3.68,0.42,-0.53,0.03,83,58,30,16
NIFTY,150,110,5.16,3.09,5.13,-1.34,-1.72,-2.45,2.43,4,6,-3.56,3.06,0.4,-0.52,0.04,85,56,27,19
NIFTY,150,120,1.34,1.8,3.69,-1.53,-2.62,-2.45,2.23,4,6,-3.56,2.94,0.41,-0.5,0.01,79,62,25,21
NIFTY,150,130,-0.34,1.86,2.47,-1.3,-3.37,-2.45,2.13,3,6,-3.63,2.82,0.38,-0.52,-0.0,81,60,25,21
NIFTY,150,140,-1.66,1.5,1.65,-0.82,-3.98,-2.45,2.01,3,6,-3.78,2.78,0.37,-0.54,-0.01,82,59,24,22
NIFTY,150,150,-2.39,1.29,1.02,-1.09,-3.6,-2.45,1.84,3,6,-3.78,2.65,0.37,-0.52,-0.02,80,61,24,22
NIFTY,150,160,-2.89,1.16,0.61,-1.29,-3.38,-2.45,1.71,3,6,-3.27,2.53,0.36,-0.51,-0.02,79,62,22,24
NIFTY,150,170,-3.31,1.2,0.46,-1.64,-3.32,-2.45,1.58,3,6,-3.27,2.46,0.37,-0.49,-0.02,77,64,23,23
NIFTY,150,180,-3.15,1.33,0.79,-1.77,-3.49,-2.45,1.52,3,6,-3.27,2.38,0.35,-0.5,-0.02,79,62,22,24
NIFTY,150,190,-3.54,1.22,0.69,-1.53,-3.92,-2.45,1.32,3,6,-3.27,2.38,0.36,-0.5,-0.03,78,63,22,24
NIFTY,150,200,-4.79,0.57,0.53,-1.55,-4.34,-2.45,1.24,3,6,-3.27,2.38,0.35,-0.51,-0.03,78,63,21,25
NIFTY,150,210,-4.66,0.23,0.87,-1.31,-4.44,-2.45,1.14,3,7,-3.27,2.72,0.35,-0.51,-0.03,78,63,23,23
NIFTY,150,220,-5.63,-0.17,0.9,-1.36,-5.0,-2.45,0.91,3,7,-3.27,2.49,0.35,-0.51,-0.04,77,64,23,23
NIFTY,150,230,-4.28,1.14,0.9,-1.17,-5.15,-2.45,0.91,3,7,-3.27,2.48,0.34,-0.49,-0.03,78,63,25,21
NIFTY,150,240,-4.59,1.3,0.72,-1.17,-5.45,-2.45,0.91,3,7,-3.27,2.38,0.34,-0.49,-0.03,78,63,24,22
NIFTY,150,250,-5.01,1.21,0.68,-1.1,-5.81,-2.45,0.91,3,7,-3.27,2.38,0.33,-0.49,-0.04,78,63,23,23
NIFTY,150,50,4.64,3.23,10.46,-5.0,-4.05,-4.48,3.36,8,8,-7.39,9.04,0.73,-0.76,0.03,75,66,23,23
NIFTY,150,60,-0.48,3.05,8.48,-7.66,-4.36,-4.62,3.18,6,6,-6.03,6.35,0.62,-0.77,-0.0,78,63,26,20
NIFTY,150,70,2.0,2.06,10.38,-6.98,-3.46,-3.2,3.05,6,8,-6.02,6.92,0.55,-0.73,0.01,82,59,25,21
NIFTY,150,80,2.06,1.53,8.33,-5.3,-2.5,-3.28,2.87,4,8,-4.24,5.99,0.49,-0.66,0.01,83,58,26,20
NIFTY,150,90,4.14,4.22,7.07,-5.87,-1.29,-2.45,2.67,5,5,-4.7,4.44,0.46,-0.55,0.03,81,60,27,19
NIFTY,160,100,3.87,3.72,6.65,-4.45,-2.05,-2.44,2.54,5,6,-3.64,3.86,0.43,-0.53,0.03,82,59,29,17
NIFTY,160,110,4.67,2.94,5.25,-1.11,-2.4,-2.44,2.43,4,8,-3.8,4.67,0.41,-0.53,0.03,85,56,27,19
NIFTY,160,120,0.85,1.65,3.8,-1.31,-3.29,-2.44,2.23,4,8,-3.8,4.16,0.41,-0.51,0.01,79,62,25,21
