Underlying,Call TSL,Put TSL,Total Return,2021 Return,2022 Return,2023 Return,2024 Return,Max Drawdown %,Max Profit %,Consecutive Drawdown in Number,Consecutive Profit in Number,Consecutive Drawdown in %,Consecutive Profit iin %,Win Avg,Loss Avg,Total Avg,Win Count,Loss Count,No of Positive Months,No of Negative Months
NIFTY,100,100,3.2,2.69,2.01,-0.19,-1.3,-2.63,2.29,7,6,-4.94,5.23,0.5,-0.56,0.02,105,88,25,21
NIFTY,100,110,0.98,0.38,1.28,-1.54,0.87,-2.35,2.2,6,6,-4.36,4.86,0.48,-0.54,0.01,103,90,24,22
NIFTY,100,120,1.78,-1.89,3.14,-1.33,1.86,-2.38,1.99,5,8,-3.42,4.59,0.46,-0.53,0.01,105,88,24,22
NIFTY,100,130,2.41,-3.61,4.24,-0.85,2.63,-2.06,1.84,6,8,-3.65,4.22,0.47,-0.51,0.01,103,90,25,21
NIFTY,100,140,3.52,-3.17,4.67,-0.26,2.28,-2.1,1.84,5,8,-3.8,3.96,0.48,-0.5,0.02,102,91,25,21
NIFTY,100,150,6.56,-0.61,5.38,-0.01,1.8,-2.27,1.84,5,8,-3.69,3.78,0.47,-0.47,0.03,103,90,26,20
NIFTY,100,160,6.52,-0.41,5.02,-0.36,2.28,-2.4,2.35,5,8,-3.81,3.81,0.48,-0.48,0.03,103,90,24,22
NIFTY,100,170,6.85,0.73,5.3,-0.94,1.76,-1.87,2.35,5,6,-3.2,3.81,0.48,-0.47,0.04,102,91,23,23
NIFTY,100,180,7.36,0.92,5.19,-0.02,1.27,-1.87,2.35,5,11,-3.2,3.81,0.48,-0.49,0.04,105,88,24,22
NIFTY,100,190,5.89,0.63,4.75,-0.16,0.67,-1.87,2.35,5,11,-3.38,3.81,0.48,-0.49,0.03,104,89,25,21
NIFTY,100,200,5.04,0.23,4.48,-0.35,0.69,-1.87,2.35,5,11,-3.2,3.81,0.48,-0.5,0.03,104,89,24,22
NIFTY,100,210,5.02,0.67,4.18,-0.5,0.67,-1.87,2.35,5,11,-3.2,3.81,0.48,-0.5,0.03,104,89,24,22
NIFTY,100,220,5.04,1.54,3.87,-0.95,0.58,-1.87,2.35,5,11,-3.2,3.81,0.49,-0.5,0.03,103,90,24,22
NIFTY,100,230,5.04,2.47,3.18,-0.65,0.04,-1.99,2.35,8,11,-3.2,3.81,0.48,-0.5,0.03,103,90,24,22
NIFTY,100,240,5.02,2.7,2.86,-0.25,-0.29,-2.1,2.35,8,11,-3.2,3.81,0.48,-0.5,0.03,103,90,24,22
NIFTY,100,250,4.34,3.12,2.19,-0.49,-0.49,-2.13,2.35,8,11,-3.2,3.81,0.49,-0.5,0.02,102,91,24,22
NIFTY,100,50,-6.59,10.4,-2.7,-8.55,-5.74,-2.52,3.34,8,5,-7.86,6.63,0.81,-0.72,-0.03,86,107,20,26
NIFTY,100,60,-8.11,8.5,-3.05,-7.03,-6.54,-2.64,3.19,7,5,-7.13,5.92,0.71,-0.7,-0.04,90,103,19,27
NIFTY,100,70,-1.38,8.81,-0.12,-3.95,-6.12,-2.87,2.95,9,5,-5.58,5.48,0.64,-0.61,-0.01,93,100,20,26
NIFTY,100,80,4.21,8.57,0.41,-2.57,-2.2,-2.49,2.68,6,5,-6.0,6.93,0.56,-0.61,0.02,104,89,27,19
