Underlying,Call TSL,Put TSL,Total Return,2021 Return,2022 Return,2023 Return,2024 Return,Max Drawdown %,Max Profit %,Consecutive Drawdown in Number,Consecutive Profit in Number,Consecutive Drawdown in %,Consecutive Profit iin %,Win Avg,Loss Avg,Total Avg,Win Count,Loss Count,No of Positive Months,No of Negative Months
NIFTY,100,100,123.22,28.87,37.35,16.05,40.95,-3.74,5.56,5,9,-7.1,17.56,1.63,-1.08,0.62,125,74,34,12
NIFTY,100,110,126.09,34.8,35.79,17.23,38.26,-3.74,5.54,6,9,-8.32,16.56,1.74,-1.05,0.63,120,79,35,11
NIFTY,100,120,131.59,34.55,35.01,22.81,39.22,-3.74,5.48,6,9,-8.89,16.01,1.78,-1.07,0.66,121,78,38,8
NIFTY,100,130,134.64,32.31,32.01,26.13,44.19,-3.74,5.41,6,7,-9.78,13.89,1.83,-1.07,0.68,120,79,38,8
NIFTY,100,140,133.37,31.97,28.63,29.13,43.63,-3.74,5.58,6,7,-10.45,14.34,1.92,-1.04,0.67,115,84,38,8
NIFTY,100,150,124.78,29.27,25.13,27.58,42.81,-3.84,5.58,6,6,-11.24,14.21,1.97,-1.07,0.63,111,88,36,10
NIFTY,100,160,118.13,28.26,23.7,26.13,40.05,-3.84,5.6,6,6,-10.02,14.03,1.96,-1.13,0.59,111,88,36,10
NIFTY,100,170,114.92,31.07,22.68,25.09,36.07,-4.06,5.62,6,6,-10.77,13.65,1.98,-1.19,0.58,111,88,37,9
NIFTY,100,180,109.83,29.35,22.83,22.65,35.01,-4.06,5.91,6,6,-12.01,13.55,1.96,-1.3,0.55,113,86,35,11
NIFTY,100,190,101.07,26.9,22.22,19.45,32.51,-4.6,5.9,6,6,-12.48,13.2,2.0,-1.34,0.51,110,89,35,11
NIFTY,100,200,98.17,25.43,27.38,17.56,27.79,-4.81,6.0,6,6,-13.23,13.51,2.05,-1.42,0.49,110,89,35,11
NIFTY,100,210,97.48,23.98,30.24,16.73,26.52,-5.1,6.01,4,6,-11.08,13.66,2.04,-1.5,0.49,112,87,34,12
NIFTY,100,220,106.7,21.69,30.46,18.26,36.29,-5.26,6.01,4,6,-10.32,14.55,2.06,-1.51,0.54,114,85,33,13
NIFTY,100,230,103.34,19.54,28.12,18.85,36.83,-5.48,6.01,4,6,-10.96,14.36,2.05,-1.57,0.52,115,84,33,13
