Underlying,Call TSL,Put TSL,Total Return,2021 Return,2022 Return,2023 Return,2024 Return,Max Drawdown %,Max Profit %,Consecutive Drawdown in Number,Consecutive Profit in Number,Consecutive Drawdown in %,Consecutive Profit iin %,Win Avg,Loss Avg,Total Avg,Win Count,Loss Count,No of Positive Months,No of Negative Months
NIFTY,100,100,5.79,-1.64,-3.69,-3.06,14.18,-2.65,5.96,5,6,-5.36,6.6,0.67,-0.8,0.03,111,86,25,21
NIFTY,100,110,5.9,1.19,-4.24,-2.95,11.9,-3.25,5.88,5,8,-6.24,7.11,0.67,-0.78,0.03,110,87,25,21
NIFTY,100,120,8.83,2.98,-4.2,-3.19,13.25,-4.33,5.66,6,8,-5.54,6.94,0.69,-0.78,0.04,111,86,27,19
NIFTY,100,130,7.22,2.43,-4.81,-3.52,13.13,-4.88,5.62,5,9,-6.7,6.9,0.72,-0.83,0.04,110,87,27,19
NIFTY,100,140,10.74,2.03,-1.39,-3.19,13.28,-5.38,5.39,5,9,-5.38,7.67,0.73,-0.83,0.05,112,85,28,18
NIFTY,100,150,16.34,2.66,2.4,-3.8,15.08,-5.86,5.33,5,9,-5.86,8.11,0.72,-0.84,0.08,117,80,29,17
NIFTY,100,160,22.23,1.72,3.36,1.28,15.87,-4.41,5.06,5,9,-4.55,7.89,0.73,-0.82,0.11,119,78,31,15
NIFTY,100,170,22.61,0.84,5.12,0.81,15.84,-4.56,5.03,5,9,-4.57,7.89,0.73,-0.82,0.11,119,78,32,14
NIFTY,100,180,22.26,-0.7,6.64,2.89,13.44,-6.18,4.8,5,9,-6.18,7.76,0.74,-0.9,0.11,122,75,32,14
NIFTY,100,190,25.56,-0.67,7.0,3.73,15.5,-3.58,4.63,5,11,-4.39,9.86,0.74,-0.87,0.13,122,75,32,14
NIFTY,100,200,24.39,-1.33,6.6,4.36,14.75,-3.58,4.6,5,11,-4.42,10.38,0.75,-0.89,0.12,122,75,31,15
NIFTY,100,210,24.61,-0.28,6.37,4.75,13.76,-3.58,4.5,5,11,-4.49,10.36,0.74,-0.9,0.12,123,74,31,15
NIFTY,100,220,24.04,-0.01,6.43,4.71,12.91,-3.58,4.5,5,11,-4.64,10.36,0.74,-0.9,0.12,123,74,31,15
