Underlying,Call TSL,Put TSL,Total Return,2021 Return,2022 Return,2023 Return,2024 Return,Max Drawdown %,Max Profit %,Consecutive Drawdown in Number,Consecutive Profit in Number,Consecutive Drawdown in %,Consecutive Profit iin %,Win Avg,Loss Avg,Total Avg,Win Count,Loss Count,No of Positive Months,No of Negative Months
NIFTY,100,100,20.34,11.82,6.2,-0.63,2.95,-3.5,6.2,6,6,-5.26,8.92,1.1,-0.87,0.1,98,100,25,21
NIFTY,100,110,17.16,12.27,6.22,-2.62,1.28,-3.44,5.91,6,6,-5.47,9.07,1.08,-0.92,0.09,100,98,24,22
NIFTY,100,120,20.15,10.81,7.4,0.49,1.44,-2.65,5.91,6,6,-6.12,9.78,1.07,-0.93,0.1,102,96,26,20
NIFTY,100,130,15.28,8.56,5.3,-1.23,2.64,-2.76,5.91,6,6,-6.23,7.61,1.05,-0.98,0.08,103,95,24,22
NIFTY,100,140,12.01,12.47,3.02,-4.01,0.52,-2.84,5.91,6,6,-6.68,7.59,1.01,-1.07,0.06,108,90,26,20
NIFTY,100,150,10.7,13.02,4.64,-6.84,-0.12,-3.05,5.91,6,11,-6.94,10.48,1.01,-1.14,0.05,110,88,28,18
NIFTY,100,160,12.9,13.89,6.33,-4.28,-3.04,-3.16,5.9,7,11,-8.94,10.33,1.01,-1.16,0.07,112,86,28,18
NIFTY,100,170,11.86,13.01,7.79,-6.13,-2.82,-3.74,5.9,7,11,-9.39,10.78,1.02,-1.17,0.06,111,87,31,15
NIFTY,100,180,19.31,13.41,10.34,-4.36,-0.09,-3.85,5.83,7,11,-9.2,10.86,1.03,-1.17,0.1,114,84,30,16
NIFTY,100,190,23.83,12.28,10.5,-3.89,4.94,-4.12,5.79,5,11,-6.84,12.45,1.02,-1.23,0.12,119,79,31,15
NIFTY,100,200,27.35,12.8,12.19,-4.66,7.02,-4.51,5.75,5,11,-6.66,12.44,1.04,-1.2,0.14,118,80,31,15
NIFTY,100,210,25.56,11.56,11.14,-2.92,5.78,-4.99,5.68,5,11,-6.83,12.75,1.06,-1.21,0.13,117,81,31,15
NIFTY,100,220,25.81,11.2,12.74,-3.35,5.23,-5.26,5.68,4,11,-7.02,12.74,1.08,-1.24,0.13,117,81,30,16
NIFTY,100,230,27.85,12.5,12.36,-3.1,6.09,-5.32,5.49,4,11,-7.04,12.92,1.09,-1.23,0.14,117,81,32,14
NIFTY,100,240,28.83,13.39,11.95,-3.0,6.49,-5.5,5.49,4,13,-7.31,14.28,1.08,-1.24,0.15,118,80,32,14
NIFTY,100,250,26.9,13.1,11.8,-3.66,5.66,-5.72,5.47,4,13,-7.13,14.26,1.09,-1.25,0.14,117,81,32,14
NIFTY,100,50,34.25,19.91,4.45,5.17,4.72,-3.7,4.1,11,6,-9.0,13.66,1.41,-1.15,0.17,102,96,25,21
NIFTY,100,60,31.91,18.42,3.21,6.51,3.78,-4.06,5.36,11,6,-10.53,12.42,1.32,-1.13,0.16,104,94,26,20
NIFTY,100,70,30.39,12.7,5.31,5.85,6.53,-3.22,6.31,9,9,-9.97,13.94,1.22,-1.03,0.15,104,94,23,23
NIFTY,100,80,22.71,7.17,8.87,4.01,2.66,-3.35,6.25,6,9,-5.05,12.23,1.12,-1.0,0.11,104,94,23,23
NIFTY,100,90,20.0,7.61,7.62,0.6,4.17,-3.35,6.25,6,9,-5.17,10.16,1.09,-0.87,0.1,98,100,23,23
NIFTY,110,100,23.45,12.47,5.1,-3.67,9.55,-3.48,7.31,6,9,-5.27,9.99,1.14,-0.92,0.12,100,98,24,22
NIFTY,110,110,20.26,12.92,5.12,-5.65,7.88,-3.42,7.02,6,6,-6.28,8.81,1.13,-0.94,0.1,100,98,24,22
NIFTY,110,120,23.25,11.46,6.3,-2.54,8.04,-2.92,7.02,6,6,-6.94,9.48,1.1,-0.95,0.12,103,95,22,24
NIFTY,110,130,18.39,9.22,4.2,-4.26,9.23,-2.74,7.02,6,6,-6.97,8.72,1.08,-0.98,0.09,103,95,22,24
NIFTY,110,140,15.12,13.12,1.92,-7.04,7.12,-2.74,7.02,6,6,-7.5,8.7,1.08,-1.05,0.08,105,93,24,22
NIFTY,110,150,13.8,13.67,3.54,-9.88,6.47,-3.1,7.02,7,11,-10.38,11.14,1.09,-1.1,0.07,106,92,24,22
NIFTY,110,160,16.01,14.54,5.23,-7.32,3.56,-3.17,7.01,7,11,-9.84,11.0,1.05,-1.16,0.08,111,87,25,21
NIFTY,110,170,14.97,13.66,6.69,-9.16,3.78,-3.78,7.01,7,11,-10.29,11.44,1.06,-1.18,0.08,111,87,26,20
NIFTY,110,180,22.42,14.07,9.24,-7.39,6.51,-3.89,6.94,7,11,-10.1,11.53,1.06,-1.2,0.11,115,83,26,20
NIFTY,110,190,26.93,12.93,9.4,-6.93,11.53,-4.12,6.9,5,11,-7.66,13.12,1.05,-1.22,0.14,118,80,25,21
NIFTY,110,200,30.45,13.45,11.09,-7.7,13.61,-4.51,6.87,5,11,-7.48,13.1,1.09,-1.17,0.15,116,82,26,20
