Underlying,Call TSL,Put TSL,Total Return,2021 Return,2022 Return,2023 Return,2024 Return,Max Drawdown %,Max Profit %,Consecutive Drawdown in Number,Consecutive Profit in Number,Consecutive Drawdown in %,Consecutive Profit iin %,Win Avg,Loss Avg,Total Avg,Win Count,Loss Count,No of Positive Months,No of Negative Months
NIFTY,100,100,-2.54,-1.6,-1.3,-1.55,1.91,-2.25,3.52,6,7,-5.96,6.23,0.55,-0.63,-0.01,102,92,19,27
NIFTY,100,110,-1.15,2.61,-3.46,-1.3,1.01,-2.29,3.35,6,7,-5.96,6.04,0.56,-0.66,-0.01,104,90,21,25
NIFTY,100,120,-4.44,1.22,-4.21,-1.81,0.35,-2.31,3.2,6,7,-5.96,5.92,0.57,-0.64,-0.02,99,95,21,25
NIFTY,100,130,-7.03,2.47,-5.17,-3.55,-0.78,-2.31,3.45,6,7,-5.96,6.81,0.57,-0.68,-0.04,100,94,21,25
NIFTY,100,140,-9.79,1.13,-5.62,-3.31,-1.99,-2.31,3.45,6,7,-5.96,6.72,0.59,-0.68,-0.05,96,98,21,25
NIFTY,100,150,-10.01,1.32,-5.27,-2.83,-3.24,-2.66,3.45,5,7,-5.96,6.72,0.58,-0.71,-0.05,99,95,21,25
NIFTY,100,160,-9.01,1.7,-5.5,-1.35,-3.86,-3.28,3.45,5,7,-5.96,6.72,0.57,-0.7,-0.05,100,94,21,25
NIFTY,100,170,-9.13,0.83,-5.59,-0.26,-4.11,-2.97,3.43,5,7,-5.96,6.63,0.58,-0.71,-0.05,100,94,23,23
NIFTY,100,180,-8.0,0.73,-5.51,0.07,-3.29,-2.5,3.41,5,5,-5.96,5.23,0.57,-0.7,-0.04,100,94,23,23
NIFTY,100,190,-7.12,0.76,-5.53,0.56,-2.91,-2.55,3.41,5,5,-5.96,5.23,0.57,-0.68,-0.04,100,94,22,24
NIFTY,100,200,-7.46,0.64,-5.55,0.57,-3.12,-2.77,3.41,5,7,-5.96,6.28,0.56,-0.7,-0.04,102,92,23,23
NIFTY,100,210,-5.57,1.52,-5.56,0.36,-1.88,-2.78,3.64,5,7,-5.96,6.51,0.55,-0.7,-0.03,104,90,23,23
NIFTY,100,220,-4.85,1.32,-5.28,0.45,-1.34,-2.45,3.64,5,7,-5.96,6.51,0.55,-0.69,-0.02,104,90,23,23
