Underlying,Call TSL,Put TSL,Total Return,2021 Return,2022 Return,2023 Return,2024 Return,Max Drawdown %,Max Profit %,Consecutive Drawdown in Number,Consecutive Profit in Number,Consecutive Drawdown in %,Consecutive Profit iin %,Win Avg,Loss Avg,Total Avg,Win Count,Loss Count,No of Positive Months,No of Negative Months
NIFTY,100,100,20.81,13.03,9.33,-4.39,2.84,-2.74,3.63,6,6,-5.05,10.54,1.09,-0.99,0.11,104,94,27,19
NIFTY,100,110,14.41,11.98,8.31,-6.8,0.93,-3.19,3.36,4,6,-5.32,10.96,1.07,-1.03,0.07,104,94,24,22
NIFTY,100,120,9.58,11.07,9.01,-8.4,-2.11,-3.23,3.29,4,6,-5.32,10.57,1.09,-0.99,0.05,99,99,25,21
NIFTY,100,130,3.11,14.47,7.11,-12.36,-6.11,-3.23,3.33,6,6,-6.02,9.6,1.09,-1.02,0.02,97,101,24,22
NIFTY,100,140,2.73,12.71,7.28,-10.69,-6.57,-3.34,3.33,6,6,-6.67,10.29,1.03,-1.02,0.01,100,98,25,21
NIFTY,100,150,3.6,15.14,5.82,-10.27,-7.09,-3.36,3.33,6,7,-7.51,11.83,1.02,-1.07,0.02,103,95,27,19
NIFTY,100,160,11.79,15.5,8.55,-9.77,-2.49,-3.54,4.04,7,7,-7.28,11.36,1.0,-1.05,0.06,107,91,27,19
NIFTY,100,170,11.1,14.94,12.21,-11.47,-4.57,-3.58,4.23,7,7,-7.69,10.99,1.02,-1.13,0.06,109,89,28,18
NIFTY,100,180,13.06,15.41,11.98,-9.89,-4.45,-3.99,4.23,7,7,-7.97,6.99,1.01,-1.21,0.07,114,84,29,17
NIFTY,100,190,15.41,14.66,13.48,-7.76,-4.98,-4.02,4.23,7,6,-8.6,7.59,1.03,-1.21,0.08,114,84,29,17
NIFTY,100,200,18.26,13.28,14.13,-6.48,-2.67,-4.4,4.23,5,6,-8.0,7.59,1.04,-1.25,0.09,116,82,30,16
NIFTY,100,210,20.46,12.18,15.77,-5.93,-1.56,-3.96,4.23,4,7,-7.25,7.59,1.04,-1.25,0.1,117,81,29,17
NIFTY,100,220,19.08,13.22,15.19,-7.53,-1.8,-4.32,4.23,4,7,-7.24,7.59,1.04,-1.26,0.1,117,81,31,15
NIFTY,100,230,27.02,15.76,15.53,-4.6,0.32,-4.6,4.23,4,6,-7.46,7.59,1.05,-1.23,0.14,119,79,32,14
NIFTY,100,240,29.16,15.86,15.91,-4.27,1.66,-4.86,4.23,4,6,-7.1,7.59,1.06,-1.19,0.15,118,80,32,14
NIFTY,100,250,26.94,15.28,15.58,-5.09,1.18,-4.98,4.23,4,6,-7.52,7.59,1.07,-1.18,0.14,116,82,30,16
NIFTY,100,50,33.6,23.81,8.49,2.69,-1.39,-3.72,4.78,8,6,-7.45,12.38,1.39,-1.15,0.17,103,95,25,21
NIFTY,100,60,37.15,21.66,14.23,2.8,-1.54,-3.76,4.53,6,5,-6.05,11.56,1.36,-1.04,0.19,101,97,27,19
NIFTY,100,70,29.78,16.2,14.73,2.74,-3.89,-3.97,4.4,6,5,-6.34,6.41,1.29,-1.02,0.15,100,98,28,18
NIFTY,100,80,23.75,14.23,13.53,-0.07,-3.94,-3.13,4.06,6,5,-5.54,6.15,1.22,-1.01,0.12,100,98,28,18
NIFTY,100,90,19.65,11.04,11.91,-2.49,-0.81,-2.93,4.03,6,5,-4.59,5.58,1.12,-1.01,0.1,103,95,28,18
NIFTY,110,100,25.13,12.77,8.65,-2.93,6.64,-2.96,3.63,6,9,-5.62,10.54,1.1,-0.99,0.13,106,92,25,21
NIFTY,110,110,18.73,11.72,7.63,-5.34,4.72,-3.55,3.36,4,10,-6.98,10.96,1.04,-1.07,0.09,109,89,25,21
NIFTY,110,120,13.89,10.81,8.33,-6.93,1.69,-3.59,3.29,4,6,-7.49,10.57,1.08,-1.01,0.07,102,96,26,20
NIFTY,110,130,7.43,14.21,6.43,-10.9,-2.31,-3.59,3.29,6,6,-6.56,9.6,1.11,-1.01,0.04,98,100,25,21
NIFTY,110,140,7.05,12.45,6.6,-9.23,-2.77,-3.7,3.29,6,6,-7.21,10.1,1.05,-1.0,0.04,100,98,27,19
NIFTY,110,150,7.91,14.88,5.14,-8.81,-3.29,-3.59,3.29,7,7,-8.05,11.63,1.03,-1.06,0.04,104,94,26,20
NIFTY,110,160,16.11,15.24,7.87,-8.31,1.31,-3.5,3.84,7,10,-8.3,11.65,1.02,-1.06,0.08,109,89,28,18
NIFTY,110,170,15.42,14.68,11.53,-10.01,-0.78,-3.39,4.03,7,10,-8.7,11.52,1.04,-1.15,0.08,111,87,28,18
NIFTY,110,180,17.37,15.15,11.3,-8.43,-0.65,-3.39,4.03,7,10,-8.99,13.0,1.03,-1.21,0.09,115,83,30,16
NIFTY,110,190,19.73,14.41,12.8,-6.3,-1.18,-3.51,4.03,7,10,-9.62,13.94,1.06,-1.2,0.1,114,84,30,16
NIFTY,110,200,22.58,13.03,13.45,-5.02,1.12,-3.86,4.03,5,10,-8.54,13.94,1.07,-1.23,0.11,116,82,30,16
NIFTY,110,210,24.78,11.92,15.09,-4.46,2.23,-3.96,4.04,4,10,-7.8,13.94,1.06,-1.25,0.13,118,80,30,16
NIFTY,110,220,23.4,12.96,14.51,-6.07,2.0,-4.32,4.04,4,10,-7.78,13.94,1.05,-1.26,0.12,118,80,32,14
NIFTY,110,230,31.33,15.5,14.85,-3.14,4.12,-4.6,4.04,4,10,-8.0,13.94,1.06,-1.23,0.16,120,78,32,14
NIFTY,110,240,33.48,15.6,15.22,-2.81,5.46,-4.86,4.04,4,10,-7.64,13.94,1.07,-1.21,0.17,120,78,31,15
NIFTY,110,250,31.26,15.02,14.9,-3.63,4.98,-4.98,4.04,4,10,-8.06,13.94,1.07,-1.22,0.16,119,79,31,15
NIFTY,110,50,37.92,23.55,7.81,4.15,2.4,-4.07,4.78,5,5,-7.58,7.97,1.37,-1.23,0.19,108,90,25,21
