Underlying,Call TSL,Put TSL,Total Return,2021 Return,2022 Return,2023 Return,2024 Return,Max Drawdown %,Max Profit %,Consecutive Drawdown in Number,Consecutive Profit in Number,Consecutive Drawdown in %,Consecutive Profit iin %,Win Avg,Loss Avg,Total Avg,Win Count,Loss Count,No of Positive Months,No of Negative Months
NIFTY,100,100,2.27,2.15,2.49,-0.07,-2.3,-3.4,2.75,6,6,-5.54,6.24,0.58,-0.68,0.01,106,87,24,22
NIFTY,100,110,0.22,-0.67,1.36,-1.84,1.38,-2.96,2.62,6,6,-4.81,5.81,0.55,-0.65,0.0,105,88,25,21
NIFTY,100,120,1.93,-3.22,3.89,-1.61,2.87,-2.99,2.42,6,8,-4.45,5.49,0.55,-0.62,0.01,104,89,24,22
NIFTY,100,130,2.07,-5.26,5.04,-0.94,3.23,-2.6,2.4,6,8,-4.79,4.96,0.56,-0.61,0.01,102,91,26,20
NIFTY,100,140,3.37,-4.35,5.43,-0.41,2.7,-2.63,2.48,6,8,-4.97,4.66,0.57,-0.58,0.02,100,93,26,20
NIFTY,100,150,6.77,-0.79,6.1,-0.58,2.04,-2.86,2.46,7,8,-4.75,4.52,0.56,-0.56,0.04,102,91,25,21
NIFTY,100,160,6.4,-0.51,5.45,-0.91,2.37,-3.0,2.85,6,8,-4.9,4.54,0.56,-0.56,0.03,102,91,24,22
NIFTY,100,170,6.75,0.88,5.88,-1.61,1.61,-2.25,2.85,6,6,-3.85,4.54,0.56,-0.56,0.03,103,90,23,23
NIFTY,100,180,7.84,1.62,5.57,-0.26,0.91,-2.25,2.85,6,11,-3.85,4.54,0.55,-0.58,0.04,106,87,24,22
NIFTY,100,190,6.03,1.22,5.08,-0.52,0.25,-2.25,2.85,6,11,-3.91,4.54,0.55,-0.59,0.03,105,88,25,21
NIFTY,100,200,4.96,0.67,4.69,-0.81,0.4,-2.25,2.85,6,11,-3.85,4.54,0.55,-0.58,0.03,103,90,24,22
NIFTY,100,210,4.82,1.04,4.38,-1.02,0.42,-2.25,2.85,6,11,-3.85,4.54,0.56,-0.58,0.02,102,91,24,22
