Underlying,Call HSL,Put HSL,Total Return,2021 Return,2022 Return,2023 Return,2024 Return,Max Drawdown %,Max Profit %,Consecutive Drawdown in Number,Consecutive Profit in Number,Consecutive Drawdown in %,Consecutive Profit iin %,Win Avg,Loss Avg,Total Avg,Win Count,Loss Count,No of Positive Months,No of Negative Months
NIFTY,100,100,24.08,2.17,6.57,5.32,10.01,-4.27,2.13,6,9,-7.77,6.68,0.66,-0.7,0.14,109,68,33,9
NIFTY,100,110,21.25,2.0,6.63,4.51,8.11,-4.55,2.02,3,9,-8.05,6.29,0.65,-0.72,0.12,109,68,30,12
NIFTY,100,120,21.31,3.99,6.65,3.54,7.13,-3.5,1.9,3,9,-5.54,5.55,0.64,-0.71,0.12,109,68,30,12
NIFTY,100,130,20.31,4.18,6.35,2.86,6.93,-3.5,1.65,3,9,-4.21,5.55,0.63,-0.69,0.11,108,69,30,12
NIFTY,100,140,18.79,4.29,5.42,2.34,6.74,-3.5,1.52,3,9,-3.51,5.55,0.62,-0.7,0.11,108,69,30,12
NIFTY,100,150,18.67,3.46,4.83,4.18,6.21,-3.5,1.52,3,9,-3.51,5.55,0.63,-0.67,0.11,106,71,31,11
NIFTY,100,160,18.32,2.72,4.31,4.6,6.69,-3.5,1.52,3,9,-3.51,5.55,0.62,-0.7,0.1,108,69,30,12
NIFTY,100,170,21.31,2.24,5.72,7.38,5.97,-3.5,1.52,3,9,-3.51,5.55,0.62,-0.66,0.12,108,69,31,11
NIFTY,100,180,20.41,1.01,6.29,7.0,6.1,-3.5,1.52,3,9,-3.51,5.55,0.62,-0.66,0.12,107,70,30,12
NIFTY,100,190,22.36,1.55,6.49,8.3,6.01,-3.5,1.57,3,11,-3.51,8.69,0.62,-0.66,0.13,109,68,30,12
NIFTY,100,200,20.64,0.74,6.29,8.08,5.52,-3.5,1.8,3,11,-3.53,8.63,0.62,-0.67,0.12,108,69,29,13
NIFTY,100,50,25.49,-0.4,8.83,3.15,13.91,-3.85,2.79,5,7,-7.35,7.29,0.71,-0.78,0.14,110,67,27,15
