Underlying,Call HSL,Put HSL,Total Return,2021 Return,2022 Return,2023 Return,2024 Return,Max Drawdown %,Max Profit %,Consecutive Drawdown in Number,Consecutive Profit in Number,Consecutive Drawdown in %,Consecutive Profit iin %,Win Avg,Loss Avg,Total Avg,Win Count,Loss Count,No of Positive Months,No of Negative Months
NIFTY,100,100,101.58,20.98,54.72,19.06,6.82,-8.04,8.86,7,5,-10.86,19.2,2.63,-1.38,0.57,87,92,28,14
NIFTY,100,110,97.83,21.64,52.04,17.98,6.16,-8.35,8.86,7,5,-11.36,19.2,2.72,-1.42,0.55,85,94,27,15
NIFTY,100,120,99.57,21.36,50.15,23.8,4.26,-8.69,8.86,7,6,-12.57,19.2,2.69,-1.46,0.56,87,92,28,14
NIFTY,100,130,102.39,20.4,46.76,27.97,7.27,-7.95,8.86,7,7,-13.98,19.2,2.72,-1.46,0.57,87,92,29,13
NIFTY,100,140,100.18,17.85,44.48,29.07,8.77,-8.04,8.86,7,7,-15.11,19.2,2.81,-1.48,0.56,85,94,29,13
NIFTY,100,150,97.82,17.84,42.47,28.72,8.8,-8.51,8.86,7,5,-15.16,19.2,2.91,-1.5,0.55,83,96,28,14
NIFTY,100,160,94.53,16.37,40.01,30.19,7.95,-8.64,8.86,7,5,-16.02,19.2,2.92,-1.54,0.53,83,96,28,14
NIFTY,100,170,98.3,15.16,43.31,27.97,11.85,-8.26,8.86,7,5,-17.16,19.2,2.92,-1.55,0.55,84,95,27,15
NIFTY,100,180,98.73,14.72,43.65,26.24,14.12,-8.59,8.86,7,5,-17.96,19.2,2.91,-1.58,0.55,85,94,27,15
NIFTY,100,190,96.16,13.83,41.79,27.08,13.47,-8.6,8.86,7,5,-14.59,19.2,2.89,-1.64,0.54,86,93,26,16
NIFTY,100,200,91.75,12.24,40.23,24.72,14.57,-8.67,8.86,7,5,-15.1,19.2,2.87,-1.72,0.51,87,92,26,16
NIFTY,100,50,105.95,21.32,45.86,16.74,22.03,-6.66,8.33,6,10,-11.88,19.85,2.04,-1.77,0.59,111,68,32,10
NIFTY,100,60,105.07,19.26,50.34,15.59,19.89,-6.89,8.86,6,9,-12.6,20.23,2.17,-1.61,0.59,104,75,32,10
NIFTY,100,70,108.68,22.11,53.59,17.5,15.48,-7.14,8.86,6,8,-10.61,19.82,2.27,-1.49,0.61,100,79,31,11
NIFTY,100,80,109.18,18.84,56.0,23.28,11.06,-7.28,8.86,5,8,-8.97,17.48,2.36,-1.5,0.61,98,81,30,12
NIFTY,100,90,107.14,22.89,54.09,21.23,8.93,-7.53,8.86,5,7,-9.07,16.65,2.38,-1.46,0.6,96,83,29,13
NIFTY,110,100,107.16,20.76,56.53,23.46,6.4,-8.04,8.86,12,6,-12.14,24.9,2.67,-1.45,0.6,89,90,28,14
NIFTY,110,110,103.4,21.42,53.85,22.38,5.74,-8.35,8.86,11,6,-12.62,24.9,2.76,-1.48,0.58,87,92,27,15
NIFTY,110,120,105.15,21.14,51.97,28.2,3.84,-8.69,8.86,11,6,-13.83,24.9,2.72,-1.53,0.59,89,90,28,14
NIFTY,110,130,107.96,20.18,48.57,32.37,6.85,-7.95,8.86,12,7,-15.4,24.9,2.74,-1.55,0.6,90,89,28,14
NIFTY,110,140,105.75,17.63,46.3,33.47,8.35,-8.04,8.86,12,7,-16.78,24.9,2.83,-1.57,0.59,88,91,28,14
NIFTY,110,150,103.39,17.62,44.28,33.12,8.38,-8.51,8.86,12,6,-16.99,24.9,2.92,-1.59,0.58,86,93,28,14
NIFTY,110,160,100.1,16.15,41.83,34.59,7.53,-8.64,8.86,11,6,-17.28,24.9,2.93,-1.64,0.56,86,93,28,14
NIFTY,110,170,103.87,14.94,45.12,32.37,11.43,-4.54,8.86,11,6,-18.42,24.9,2.93,-1.64,0.58,87,92,27,15
NIFTY,110,180,104.31,14.5,45.47,30.64,13.7,-4.87,8.86,11,6,-19.23,24.9,2.92,-1.68,0.58,88,91,27,15
NIFTY,110,190,101.74,13.61,43.6,31.47,13.05,-4.88,8.86,7,6,-15.59,24.9,2.9,-1.74,0.57,89,90,26,16
NIFTY,110,200,97.33,12.02,42.04,29.12,14.15,-4.95,8.86,7,6,-16.09,24.9,2.88,-1.82,0.54,90,89,26,16
NIFTY,110,50,111.52,21.1,47.68,21.14,21.61,-6.54,8.33,6,10,-10.05,24.26,2.07,-1.85,0.62,113,66,33,9
NIFTY,110,60,110.64,19.04,52.15,19.99,19.47,-6.89,8.86,6,9,-10.2,25.92,2.19,-1.72,0.62,107,72,33,9
