Underlying,Call TSL,Put TSL,Total Return,2021 Return,2022 Return,2023 Return,2024 Return,Max Drawdown %,Max Profit %,Consecutive Drawdown in Number,Consecutive Profit in Number,Consecutive Drawdown in %,Consecutive Profit iin %,Win Avg,Loss Avg,Total Avg,Win Count,Loss Count,No of Positive Months,No of Negative Months
NIFTY,100,100,126.93,35.65,36.48,17.56,37.24,-3.52,6.19,6,7,-9.03,13.82,1.73,-1.1,0.64,122,77,35,11
NIFTY,100,110,125.45,36.34,33.08,22.59,33.45,-3.52,6.11,5,7,-6.24,13.14,1.77,-1.06,0.63,119,80,36,10
NIFTY,100,120,121.24,33.7,32.65,19.53,35.36,-3.52,6.05,5,7,-6.78,15.53,1.81,-1.1,0.61,117,82,36,10
NIFTY,100,130,120.31,34.23,31.17,20.73,34.18,-3.52,6.02,5,5,-6.83,16.0,1.8,-1.13,0.6,118,81,37,9
NIFTY,100,140,124.73,35.59,28.57,22.9,37.67,-3.52,5.92,4,5,-7.64,15.88,1.86,-1.13,0.63,117,82,36,10
NIFTY,100,150,116.67,31.76,27.06,22.52,35.33,-3.52,5.88,5,5,-8.07,15.73,1.9,-1.14,0.59,113,86,37,9
NIFTY,100,160,111.33,31.01,24.6,20.63,35.09,-3.52,5.79,6,5,-9.73,15.5,1.95,-1.16,0.56,110,89,37,9
NIFTY,100,170,103.23,30.55,22.92,18.31,31.43,-4.08,5.77,6,5,-10.78,15.15,2.03,-1.2,0.52,106,93,36,10
NIFTY,100,180,105.51,31.4,28.12,15.31,30.68,-4.08,5.68,6,5,-11.06,14.68,2.06,-1.29,0.53,108,91,36,10
NIFTY,100,190,112.62,30.91,33.46,16.82,31.43,-4.13,5.68,6,5,-9.49,14.51,2.08,-1.31,0.57,110,89,37,9
NIFTY,100,200,113.41,30.82,37.76,14.73,30.1,-4.65,5.62,6,5,-9.8,14.26,2.14,-1.37,0.57,110,89,36,10
NIFTY,100,210,109.39,29.04,35.19,16.03,29.14,-4.65,5.52,6,5,-10.7,14.26,2.17,-1.42,0.55,109,90,35,11
NIFTY,100,220,100.72,26.87,33.61,13.38,26.86,-5.19,5.52,6,5,-11.1,14.26,2.14,-1.51,0.51,110,89,35,11
NIFTY,100,230,102.06,27.95,34.22,15.41,24.47,-5.28,5.52,6,5,-11.8,15.71,2.21,-1.54,0.51,109,90,34,12
NIFTY,100,240,101.79,26.35,35.12,17.73,22.59,-5.28,5.52,3,5,-11.59,15.66,2.26,-1.61,0.51,109,90,34,12
NIFTY,100,250,115.78,23.97,33.95,22.96,34.9,-5.1,5.68,3,9,-11.76,21.84,2.27,-1.64,0.58,113,86,34,12
NIFTY,100,50,122.42,25.73,39.01,21.85,35.83,-3.52,6.47,5,8,-6.11,13.74,1.7,-1.14,0.62,123,76,37,9
