Underlying,Call TSL,Put TSL,Total Return,2023 Return,2024 Return,Max Drawdown %,Max Profit %,Consecutive Drawdown in Number,Consecutive Profit in Number,Consecutive Drawdown in %,Consecutive Profit iin %,Win Avg,Loss Avg,Total Avg,Win Count,Loss Count,No of Positive Months,No of Negative Months
FINNIFTY,90,130,12.74,10.02,2.71,-2.42,4.07,6,8,-6.4,7.56,1.08,-0.84,0.17,39,35,12,6
FINNIFTY,90,140,14.76,12.18,2.58,-2.42,4.07,6,9,-6.8,8.23,1.13,-0.83,0.2,39,35,13,5
FINNIFTY,90,150,13.21,10.81,2.4,-2.42,4.07,6,9,-7.28,8.23,1.1,-0.9,0.18,40,34,13,5
FINNIFTY,90,160,17.82,12.22,5.61,-2.52,4.07,6,9,-6.21,8.21,1.18,-0.87,0.24,40,34,13,5
FINNIFTY,90,170,15.28,10.26,5.01,-2.62,4.07,6,9,-6.5,8.14,1.18,-0.94,0.21,40,34,13,5
FINNIFTY,90,180,16.19,10.16,6.03,-2.92,4.07,5,9,-5.19,7.86,1.18,-0.98,0.22,41,33,12,6
FINNIFTY,90,190,20.3,14.2,6.1,-2.92,4.43,5,9,-4.57,8.34,1.26,-1.02,0.27,42,32,12,6
FINNIFTY,90,200,21.14,15.83,5.31,-3.05,4.43,5,9,-4.85,9.2,1.26,-1.06,0.29,43,31,11,7
FINNIFTY,90,50,1.54,1.6,-0.07,-2.49,4.07,11,4,-11.47,4.87,1.41,-0.92,0.02,30,44,11,7
FINNIFTY,90,60,2.29,4.5,-2.21,-2.61,4.07,11,4,-12.44,4.49,1.31,-0.89,0.03,31,43,13,5
FINNIFTY,90,70,1.2,5.42,-4.22,-2.65,4.07,6,6,-6.65,4.36,1.16,-0.96,0.02,34,40,12,6
FINNIFTY,90,80,5.99,8.31,-2.32,-2.84,4.07,6,5,-6.54,5.34,1.1,-0.88,0.08,36,38,12,6
FINNIFTY,90,90,7.23,9.26,-2.03,-3.05,4.07,4,6,-5.52,6.0,1.01,-0.98,0.1,40,34,12,6
