Underlying,Call TSL,Put TSL,Total Return,2023 Return,2024 Return,Max Drawdown %,Max Profit %,Consecutive Drawdown in Number,Consecutive Profit in Number,Consecutive Drawdown in %,Consecutive Profit iin %,Win Avg,Loss Avg,Total Avg,Win Count,Loss Count,No of Positive Months,No of Negative Months
FINNIFTY,100,100,9.3,6.15,3.15,-3.13,8.5,4,7,-3.4,8.5,0.92,-1.23,0.13,46,27,11,7
FINNIFTY,100,110,9.43,7.29,2.14,-3.33,8.5,4,5,-3.6,8.5,0.9,-1.11,0.13,45,28,11,7
FINNIFTY,100,120,13.36,11.09,2.27,-3.79,8.5,2,10,-4.05,8.5,0.81,-1.28,0.18,51,22,11,7
FINNIFTY,100,130,11.5,9.68,1.82,-4.23,8.5,2,10,-4.49,8.5,0.77,-1.37,0.16,52,21,11,7
FINNIFTY,100,140,12.14,7.63,4.51,-4.32,8.5,2,10,-4.58,8.5,0.74,-1.25,0.17,52,21,12,6
FINNIFTY,100,150,13.74,7.49,6.25,-4.32,8.5,4,10,-5.25,8.5,0.73,-1.15,0.19,52,21,12,6
FINNIFTY,100,160,12.2,6.02,6.18,-4.32,8.5,4,10,-5.72,8.5,0.71,-1.19,0.17,52,21,12,6
FINNIFTY,100,170,10.98,5.53,5.45,-4.32,8.5,4,10,-5.87,8.5,0.67,-1.23,0.15,53,20,12,6
FINNIFTY,100,180,11.27,4.6,6.67,-3.05,8.5,4,10,-4.25,8.5,0.68,-1.07,0.15,51,22,13,5
FINNIFTY,100,190,10.96,3.59,7.37,-3.05,8.5,4,10,-3.91,8.5,0.66,-1.04,0.15,51,22,12,6
FINNIFTY,100,200,10.04,2.98,7.06,-3.05,8.5,4,10,-3.36,8.5,0.65,-0.99,0.14,50,23,13,5
FINNIFTY,100,50,21.74,15.68,6.06,-2.73,8.5,5,5,-4.71,8.61,1.38,-1.01,0.3,40,33,10,8
FINNIFTY,100,60,17.17,12.01,5.16,-2.93,8.5,5,5,-5.53,8.5,1.31,-1.07,0.24,40,33,11,7
FINNIFTY,100,70,9.8,7.67,2.13,-3.19,8.5,5,7,-6.97,8.5,1.17,-1.27,0.13,42,31,10,8
FINNIFTY,100,80,7.6,3.9,3.7,-3.55,8.5,4,5,-5.07,8.5,1.14,-1.23,0.1,41,32,11,7
FINNIFTY,100,90,11.31,6.3,5.01,-3.06,8.5,4,7,-4.45,8.5,1.01,-1.21,0.15,45,28,12,6
FINNIFTY,110,100,8.18,6.58,1.6,-3.15,8.5,4,7,-3.83,8.5,0.89,-1.3,0.11,47,26,11,7
FINNIFTY,110,110,8.31,7.72,0.58,-3.35,8.5,4,5,-4.03,8.5,0.87,-1.17,0.11,46,27,11,7
FINNIFTY,110,120,12.24,11.52,0.72,-3.8,8.5,2,11,-4.48,8.5,0.78,-1.45,0.17,53,20,11,7
FINNIFTY,110,130,10.38,10.11,0.27,-4.25,8.5,2,11,-4.93,8.5,0.76,-1.49,0.14,53,20,11,7
FINNIFTY,110,140,11.02,8.06,2.96,-4.34,8.5,2,11,-5.02,8.5,0.73,-1.37,0.15,53,20,11,7
FINNIFTY,110,150,12.62,7.93,4.69,-4.34,8.5,4,11,-5.83,8.5,0.71,-1.25,0.17,53,20,12,6
FINNIFTY,110,160,11.07,6.45,4.63,-4.34,8.5,4,11,-6.3,8.5,0.7,-1.22,0.15,52,21,12,6
FINNIFTY,110,170,9.86,5.96,3.89,-4.34,8.5,4,11,-6.46,8.5,0.67,-1.19,0.14,52,21,12,6
FINNIFTY,110,180,10.15,5.04,5.11,-3.27,8.5,4,11,-4.83,8.5,0.66,-1.07,0.14,51,22,12,6
FINNIFTY,110,190,9.84,4.03,5.82,-3.27,8.5,4,11,-4.06,8.5,0.64,-1.05,0.13,51,22,12,6
FINNIFTY,110,200,8.92,3.42,5.5,-3.27,8.5,4,11,-3.81,8.5,0.63,-0.99,0.12,50,23,12,6
FINNIFTY,110,50,20.62,16.11,4.5,-2.34,8.5,5,5,-5.21,8.61,1.33,-1.06,0.28,41,32,10,8
