Underlying,Call TSL,Put TSL,Total Return,2023 Return,2024 Return,Max Drawdown %,Max Profit %,Consecutive Drawdown in Number,Consecutive Profit in Number,Consecutive Drawdown in %,Consecutive Profit iin %,Win Avg,Loss Avg,Total Avg,Win Count,Loss Count,No of Positive Months,No of Negative Months
FINNIFTY,100,100,-3.29,4.13,-7.42,-3.39,2.34,6,5,-6.46,4.91,0.8,-1.01,-0.04,40,35,10,8
FINNIFTY,100,110,-4.29,4.39,-8.67,-3.47,2.34,5,5,-6.73,4.45,0.79,-1.02,-0.06,40,35,9,9
FINNIFTY,100,120,-3.57,6.01,-9.58,-3.76,2.34,4,5,-7.16,4.03,0.78,-0.99,-0.05,40,35,9,9
FINNIFTY,100,130,-1.52,5.63,-7.15,-3.86,2.34,4,5,-5.69,3.9,0.81,-0.92,-0.02,39,36,8,10
FINNIFTY,100,140,-2.87,4.3,-7.17,-4.13,2.34,4,4,-5.79,3.9,0.83,-0.93,-0.04,38,37,6,12
FINNIFTY,100,150,-3.53,3.65,-7.19,-4.13,2.69,4,6,-5.83,3.9,0.83,-0.94,-0.05,38,37,6,12
FINNIFTY,100,160,0.36,5.71,-5.35,-4.27,2.69,4,5,-5.9,3.9,0.83,-0.84,0.0,38,37,9,9
FINNIFTY,100,170,0.43,5.64,-5.21,-4.32,2.69,4,6,-6.19,3.9,0.79,-0.89,0.01,40,35,10,8
FINNIFTY,100,180,0.45,5.04,-4.59,-4.65,2.69,4,6,-6.66,4.77,0.77,-0.97,0.01,42,33,10,8
FINNIFTY,100,190,-0.43,4.04,-4.47,-4.84,2.69,4,6,-6.94,5.3,0.82,-1.0,-0.01,41,34,10,8
FINNIFTY,100,200,0.49,3.82,-3.33,-4.85,2.69,4,6,-6.64,5.3,0.81,-1.02,0.01,42,33,10,8
FINNIFTY,100,50,-5.15,0.02,-5.17,-3.28,2.66,6,6,-6.74,9.16,1.01,-1.24,-0.07,39,36,9,9
FINNIFTY,100,60,-2.63,1.71,-4.33,-3.49,2.51,6,9,-6.82,10.81,0.99,-1.27,-0.04,41,34,9,9
FINNIFTY,100,70,2.3,6.37,-4.07,-2.88,2.31,5,9,-5.07,10.3,0.92,-1.1,0.03,42,33,11,7
FINNIFTY,100,80,1.47,5.98,-4.51,-3.0,2.08,5,6,-4.83,6.54,0.87,-0.95,0.02,40,35,9,9
FINNIFTY,100,90,3.59,8.77,-5.19,-3.24,2.34,6,5,-5.52,5.72,0.87,-0.89,0.05,40,35,10,8
FINNIFTY,110,100,-3.02,3.4,-6.42,-3.39,2.19,6,5,-6.44,4.91,0.77,-1.13,-0.04,43,32,10,8
FINNIFTY,110,110,-4.01,3.66,-7.67,-3.47,2.19,5,5,-6.71,4.45,0.79,-1.13,-0.05,42,33,10,8
FINNIFTY,110,120,-3.29,5.28,-8.58,-3.76,2.19,4,5,-6.99,4.03,0.77,-1.08,-0.04,42,33,9,9
FINNIFTY,110,130,-1.25,4.9,-6.15,-3.86,2.19,4,5,-4.8,3.75,0.77,-1.02,-0.02,42,33,8,10
FINNIFTY,110,140,-2.6,3.57,-6.17,-4.13,2.19,4,5,-4.77,3.75,0.8,-0.99,-0.03,40,35,6,12
FINNIFTY,110,150,-3.26,2.93,-6.19,-4.13,2.21,4,6,-4.7,3.75,0.8,-1.01,-0.04,40,35,6,12
FINNIFTY,110,160,0.64,4.98,-4.35,-4.27,2.21,4,5,-4.66,3.89,0.8,-0.89,0.01,40,35,9,9
FINNIFTY,110,170,0.71,4.91,-4.21,-4.32,2.21,4,6,-4.71,3.85,0.76,-0.94,0.01,42,33,9,9
FINNIFTY,110,180,0.72,4.32,-3.59,-4.65,2.21,4,6,-5.04,4.62,0.74,-1.03,0.01,44,31,9,9
FINNIFTY,110,190,-0.16,3.32,-3.47,-4.84,2.21,4,6,-5.28,5.15,0.8,-1.02,-0.0,42,33,9,9
FINNIFTY,110,200,0.76,3.09,-2.33,-4.85,2.21,4,6,-5.24,5.15,0.78,-1.08,0.01,44,31,9,9
FINNIFTY,110,50,-4.88,-0.71,-4.17,-3.13,2.66,6,6,-6.72,9.16,1.09,-1.25,-0.07,38,37,7,11
FINNIFTY,110,60,-2.36,0.98,-3.33,-3.34,2.64,6,9,-6.5,10.59,1.03,-1.31,-0.03,41,34,8,10
FINNIFTY,110,70,2.57,5.64,-3.07,-2.88,2.59,5,9,-5.03,10.08,0.96,-1.15,0.03,42,33,9,9
FINNIFTY,110,80,1.75,5.25,-3.51,-3.0,2.43,5,6,-5.13,6.54,0.89,-1.02,0.02,41,34,9,9
FINNIFTY,110,90,3.86,8.05,-4.19,-3.24,2.33,6,5,-5.83,5.72,0.84,-1.01,0.05,43,32,10,8
FINNIFTY,120,100,0.12,3.62,-3.5,-3.16,2.16,6,5,-4.92,4.91,0.75,-1.0,0.0,43,32,11,7
FINNIFTY,120,110,-0.88,3.88,-4.76,-3.46,2.08,5,5,-4.42,4.45,0.77,-1.0,-0.01,42,33,11,7
FINNIFTY,120,120,-0.16,5.51,-5.67,-3.46,1.95,4,5,-4.44,4.03,0.75,-0.96,-0.0,42,33,10,8
