Underlying,Call TSL,Put TSL,Total Return,2023 Return,2024 Return,Max Drawdown %,Max Profit %,Consecutive Drawdown in Number,Consecutive Profit in Number,Consecutive Drawdown in %,Consecutive Profit iin %,Win Avg,Loss Avg,Total Avg,Win Count,Loss Count,No of Positive Months,No of Negative Months
FINNIFTY,100,100,53.35,27.17,26.18,-2.17,6.6,5,8,-5.84,11.45,2.0,-0.92,0.71,42,33,15,3
FINNIFTY,100,110,54.35,26.92,27.43,-2.21,6.59,5,8,-6.68,13.14,2.14,-0.98,0.72,41,34,14,4
FINNIFTY,100,120,53.69,26.96,26.72,-2.05,6.57,5,8,-7.4,13.07,2.04,-1.07,0.72,43,32,14,4
FINNIFTY,100,130,59.35,30.56,28.79,-2.08,6.51,5,8,-7.87,12.87,2.03,-1.07,0.79,45,30,14,4
FINNIFTY,100,140,62.93,31.77,31.15,-2.22,6.51,5,8,-8.09,12.79,1.97,-1.17,0.84,48,27,14,4
FINNIFTY,100,150,60.4,30.16,30.24,-2.46,6.46,5,8,-8.19,12.51,1.95,-1.22,0.81,48,27,14,4
FINNIFTY,100,160,61.22,30.13,31.09,-2.46,6.39,5,8,-8.72,11.65,1.98,-1.26,0.82,48,27,14,4
FINNIFTY,100,170,60.09,29.82,30.27,-2.26,6.38,5,5,-8.5,8.81,2.05,-1.18,0.8,46,29,14,4
FINNIFTY,100,180,64.1,32.85,31.25,-2.26,6.29,5,6,-7.57,11.06,2.06,-1.18,0.85,47,28,15,3
FINNIFTY,100,190,64.4,33.15,31.25,-2.29,6.29,5,6,-7.99,11.06,2.13,-1.16,0.86,46,29,15,3
FINNIFTY,100,200,63.37,32.84,30.53,-2.46,6.29,5,6,-8.14,11.09,2.11,-1.28,0.84,47,28,14,4
FINNIFTY,100,50,46.83,29.26,17.57,-3.9,6.79,4,8,-5.3,11.05,1.64,-1.28,0.62,49,26,14,4
FINNIFTY,100,60,48.51,27.87,20.64,-3.9,6.6,4,8,-5.32,10.86,1.66,-1.27,0.65,49,26,14,4
FINNIFTY,100,70,51.64,28.91,22.73,-2.67,6.6,4,8,-5.17,10.84,1.71,-1.12,0.69,48,27,15,3
FINNIFTY,100,80,51.44,27.77,23.67,-2.78,6.6,5,5,-5.43,10.78,1.94,-1.0,0.69,43,32,15,3
