Underlying,Call HSL,Put HSL,Total Return,2021 Return,2022 Return,2023 Return,2024 Return,Max Drawdown %,Max Profit %,Consecutive Drawdown in Number,Consecutive Profit in Number,Consecutive Drawdown in %,Consecutive Profit iin %,Win Avg,Loss Avg,Total Avg,Win Count,Loss Count,No of Positive Months,No of Negative Months
NIFTY,100,100,-62.07,0.01,-58.5,1.32,-4.9,-60.77,1.7,5,9,-61.4,3.12,0.43,-1.53,-0.36,103,70,24,18
NIFTY,100,110,-58.84,0.22,-57.65,1.09,-2.5,-60.77,1.38,5,8,-61.4,4.78,0.43,-1.45,-0.34,102,71,22,20
NIFTY,100,120,-58.78,-0.73,-58.53,0.45,0.03,-61.45,1.17,5,8,-62.08,4.45,0.43,-1.44,-0.34,102,71,23,19
NIFTY,100,130,-61.16,-1.76,-59.85,0.02,0.43,-63.04,1.17,5,8,-63.68,4.07,0.43,-1.46,-0.35,101,72,22,20
NIFTY,100,140,-58.73,1.78,-60.26,-0.77,0.52,-63.84,1.17,5,8,-64.47,3.66,0.43,-1.42,-0.34,101,72,24,18
NIFTY,100,150,-60.14,0.89,-60.54,-1.01,0.52,-63.84,1.17,5,8,-64.47,3.16,0.43,-1.41,-0.35,100,73,24,18
NIFTY,100,160,-59.98,1.71,-60.82,-1.39,0.52,-63.84,1.17,5,7,-64.47,2.89,0.43,-1.39,-0.35,99,74,25,17
NIFTY,100,170,-61.16,1.42,-61.33,-1.77,0.52,-63.84,1.17,5,7,-64.47,2.89,0.43,-1.42,-0.35,100,73,25,17
NIFTY,100,180,-62.78,0.82,-61.81,-2.32,0.52,-63.84,1.17,5,7,-64.47,2.89,0.43,-1.42,-0.36,99,74,24,18
NIFTY,100,190,-62.4,1.11,-62.05,-1.97,0.52,-63.84,1.17,5,7,-64.47,2.89,0.43,-1.42,-0.36,99,74,24,18
NIFTY,100,200,-63.22,0.97,-62.45,-2.26,0.52,-63.84,1.17,5,7,-64.47,2.89,0.43,-1.43,-0.37,99,74,23,19
NIFTY,100,50,-60.1,1.21,-51.31,-0.12,-9.88,-53.35,3.25,7,5,-53.98,4.8,0.58,-1.46,-0.35,94,79,18,24
NIFTY,100,60,-65.78,-2.67,-51.52,-1.16,-10.44,-54.49,2.95,6,6,-55.12,4.46,0.55,-1.48,-0.38,94,79,21,21
NIFTY,100,70,-60.5,0.38,-53.29,-0.09,-7.5,-56.93,2.64,5,6,-57.57,4.02,0.5,-1.54,-0.35,101,72,24,18
NIFTY,100,80,-60.49,2.39,-57.11,1.15,-6.91,-59.07,2.39,5,6,-59.7,3.3,0.48,-1.52,-0.35,101,72,24,18
NIFTY,100,90,-60.84,1.38,-57.21,0.75,-5.77,-60.77,2.02,5,9,-61.4,2.77,0.45,-1.53,-0.35,103,70,24,18
NIFTY,110,100,-64.15,0.01,-59.52,0.41,-5.06,-60.77,1.7,5,7,-61.4,3.12,0.44,-1.53,-0.37,102,71,24,18
NIFTY,110,110,-60.93,0.23,-58.67,0.18,-2.66,-60.77,1.38,5,8,-61.4,4.78,0.44,-1.46,-0.35,101,72,20,22
NIFTY,110,120,-60.86,-0.72,-59.55,-0.46,-0.13,-61.45,1.17,5,8,-62.08,4.45,0.43,-1.45,-0.35,101,72,22,20
NIFTY,110,130,-63.24,-1.75,-60.87,-0.89,0.27,-63.04,1.17,5,8,-63.68,4.07,0.43,-1.46,-0.37,100,73,22,20
NIFTY,110,140,-60.82,1.78,-61.28,-1.68,0.36,-63.84,1.17,5,8,-64.47,3.66,0.43,-1.43,-0.35,100,73,24,18
NIFTY,110,150,-62.23,0.89,-61.56,-1.92,0.36,-63.84,1.17,5,8,-64.47,3.16,0.43,-1.41,-0.36,99,74,24,18
NIFTY,110,160,-62.06,1.71,-61.84,-2.3,0.36,-63.84,1.17,5,7,-64.47,2.89,0.43,-1.39,-0.36,98,75,25,17
NIFTY,110,170,-63.24,1.42,-62.35,-2.68,0.36,-63.84,1.17,5,7,-64.47,2.89,0.43,-1.43,-0.37,99,74,25,17
NIFTY,110,180,-64.87,0.83,-62.83,-3.23,0.36,-63.84,1.17,5,7,-64.47,2.89,0.43,-1.43,-0.37,98,75,24,18
NIFTY,110,190,-64.48,1.11,-63.07,-2.88,0.36,-63.84,1.17,5,7,-64.47,2.89,0.43,-1.42,-0.37,98,75,24,18
NIFTY,110,200,-65.3,0.98,-63.47,-3.17,0.36,-63.84,1.17,5,7,-64.47,2.89,0.43,-1.43,-0.38,98,75,23,19
NIFTY,110,50,-62.18,1.21,-52.33,-1.03,-10.04,-53.35,3.25,7,5,-53.98,4.8,0.59,-1.46,-0.36,93,80,18,24
NIFTY,110,60,-67.87,-2.66,-52.54,-2.07,-10.6,-54.49,2.95,6,5,-55.12,4.46,0.55,-1.49,-0.39,93,80,20,22
NIFTY,110,70,-62.59,0.39,-54.31,-1.0,-7.66,-56.93,2.64,5,5,-57.57,4.02,0.5,-1.54,-0.36,100,73,24,18
NIFTY,110,80,-62.57,2.39,-58.13,0.24,-7.07,-59.07,2.39,5,5,-59.7,3.3,0.48,-1.52,-0.36,100,73,25,17
NIFTY,110,90,-62.93,1.39,-58.23,-0.16,-5.93,-60.77,2.02,5,5,-61.4,2.77,0.45,-1.53,-0.36,102,71,23,19
NIFTY,120,100,-66.64,-0.58,-60.29,-0.49,-5.28,-60.77,1.7,5,7,-61.4,3.12,0.44,-1.52,-0.39,100,73,21,21
NIFTY,120,110,-63.42,-0.37,-59.44,-0.72,-2.88,-60.77,1.38,5,8,-61.4,4.78,0.44,-1.45,-0.37,99,74,19,23
NIFTY,120,120,-63.35,-1.32,-60.32,-1.36,-0.35,-61.45,1.17,5,8,-62.08,4.45,0.44,-1.44,-0.37,99,74,22,20
NIFTY,120,130,-65.73,-2.35,-61.65,-1.78,0.04,-63.04,1.17,5,8,-63.68,4.07,0.44,-1.45,-0.38,98,75,22,20
NIFTY,120,140,-63.31,1.19,-62.05,-2.58,0.14,-63.84,1.17,5,8,-64.47,3.66,0.44,-1.42,-0.37,98,75,24,18
NIFTY,120,150,-64.71,0.3,-62.33,-2.82,0.14,-63.84,1.17,5,8,-64.47,3.16,0.44,-1.41,-0.37,97,76,24,18
NIFTY,120,160,-64.55,1.12,-62.61,-3.2,0.14,-63.84,1.17,5,7,-64.47,2.89,0.44,-1.39,-0.37,96,77,25,17
NIFTY,120,170,-65.73,0.83,-63.12,-3.58,0.14,-63.84,1.17,5,7,-64.47,2.89,0.44,-1.42,-0.38,97,76,24,18
NIFTY,120,180,-67.35,0.23,-63.6,-4.13,0.14,-63.84,1.17,5,7,-64.47,2.89,0.44,-1.42,-0.39,96,77,24,18
NIFTY,120,190,-66.97,0.52,-63.84,-3.78,0.14,-63.84,1.17,5,7,-64.47,2.89,0.44,-1.42,-0.39,96,77,24,18
NIFTY,120,200,-67.79,0.38,-64.24,-4.07,0.14,-63.84,1.17,5,7,-64.47,2.89,0.44,-1.43,-0.39,96,77,23,19
NIFTY,120,50,-64.67,0.62,-53.1,-1.93,-10.26,-53.35,3.25,7,5,-53.98,4.8,0.6,-1.45,-0.37,91,82,18,24
NIFTY,120,60,-70.36,-3.25,-53.31,-2.97,-10.83,-54.49,2.95,6,5,-55.12,4.46,0.56,-1.48,-0.41,91,82,20,22
NIFTY,120,70,-65.08,-0.21,-55.08,-1.9,-7.89,-56.93,2.64,5,5,-57.57,4.02,0.51,-1.53,-0.38,98,75,24,18
NIFTY,120,80,-65.06,1.8,-58.9,-0.66,-7.29,-59.07,2.39,5,5,-59.7,3.3,0.49,-1.51,-0.38,98,75,25,17
NIFTY,120,90,-65.42,0.8,-59.0,-1.06,-6.16,-60.77,2.02,5,5,-61.4,2.77,0.46,-1.52,-0.38,100,73,22,20
NIFTY,130,100,-67.84,-0.57,-60.71,-1.34,-5.22,-60.77,1.7,5,7,-61.4,3.12,0.44,-1.56,-0.39,101,72,21,21
NIFTY,130,110,-64.62,-0.35,-59.86,-1.58,-2.83,-60.77,1.38,5,8,-61.4,4.78,0.44,-1.49,-0.37,100,73,19,23
NIFTY,130,120,-64.55,-1.3,-60.74,-2.21,-0.3,-61.45,1.17,5,8,-62.08,4.45,0.43,-1.48,-0.37,100,73,21,21
NIFTY,130,130,-66.93,-2.33,-62.06,-2.64,0.1,-63.04,1.17,5,8,-63.68,4.07,0.44,-1.49,-0.39,99,74,21,21
NIFTY,130,140,-64.51,1.2,-62.47,-3.44,0.2,-63.84,1.17,5,8,-64.47,3.66,0.44,-1.45,-0.37,99,74,23,19
NIFTY,130,150,-65.91,0.32,-62.75,-3.67,0.2,-63.84,1.17,5,8,-64.47,3.16,0.43,-1.44,-0.38,98,75,23,19
NIFTY,130,160,-65.75,1.14,-63.03,-4.06,0.2,-63.84,1.17,5,7,-64.47,2.89,0.43,-1.42,-0.38,97,76,24,18
NIFTY,130,170,-66.93,0.84,-63.54,-4.43,0.2,-63.84,1.17,5,7,-64.47,2.89,0.43,-1.46,-0.39,98,75,23,19
NIFTY,130,180,-68.55,0.25,-64.01,-4.98,0.2,-63.84,1.17,5,7,-64.47,2.89,0.43,-1.46,-0.4,97,76,23,19
NIFTY,130,190,-68.17,0.53,-64.26,-4.64,0.2,-63.84,1.17,5,7,-64.47,2.89,0.43,-1.45,-0.39,97,76,23,19
NIFTY,130,200,-68.99,0.4,-64.66,-4.92,0.2,-63.84,1.17,5,7,-64.47,2.89,0.43,-1.46,-0.4,97,76,22,20
NIFTY,130,50,-65.87,0.63,-53.52,-2.78,-10.2,-53.35,3.25,7,5,-53.98,4.8,0.59,-1.49,-0.38,92,81,17,25
NIFTY,130,60,-71.56,-3.24,-53.72,-3.82,-10.77,-54.49,2.95,6,5,-55.12,4.46,0.55,-1.51,-0.41,92,81,19,23
NIFTY,130,70,-66.28,-0.19,-55.5,-2.76,-7.83,-56.93,2.64,5,5,-57.57,4.02,0.5,-1.57,-0.38,99,74,22,20
NIFTY,130,80,-66.26,1.81,-59.32,-1.52,-7.24,-59.07,2.39,5,5,-59.7,3.3,0.49,-1.55,-0.38,99,74,22,20
NIFTY,130,90,-66.62,0.81,-59.42,-1.91,-6.1,-60.77,2.02,5,5,-61.4,2.77,0.45,-1.56,-0.39,101,72,21,21
NIFTY,140,100,-69.74,-1.52,-61.05,-1.98,-5.2,-60.77,1.7,5,7,-61.4,3.12,0.44,-1.56,-0.4,100,73,21,21
NIFTY,140,110,-66.52,-1.3,-60.2,-2.21,-2.8,-60.77,1.38,5,8,-61.4,4.78,0.44,-1.49,-0.38,99,74,19,23
NIFTY,140,120,-66.45,-2.25,-61.08,-2.85,-0.28,-61.45,1.17,5,8,-62.08,4.45,0.44,-1.48,-0.38,99,74,22,20
NIFTY,140,130,-68.83,-3.28,-62.4,-3.27,0.12,-63.04,1.17,5,8,-63.68,4.07,0.44,-1.5,-0.4,98,75,22,20
NIFTY,140,140,-66.41,0.25,-62.81,-4.07,0.22,-63.84,1.17,5,8,-64.47,3.66,0.44,-1.46,-0.38,98,75,24,18
NIFTY,140,150,-67.82,-0.63,-63.09,-4.31,0.22,-63.84,1.17,5,8,-64.47,3.16,0.44,-1.45,-0.39,97,76,24,18
NIFTY,140,160,-67.65,0.19,-63.37,-4.69,0.22,-63.84,1.17,5,7,-64.47,2.89,0.44,-1.43,-0.39,96,77,25,17
NIFTY,140,170,-68.83,-0.11,-63.87,-5.07,0.22,-63.84,1.17,5,7,-64.47,2.89,0.44,-1.46,-0.4,97,76,24,18
NIFTY,140,180,-70.46,-0.7,-64.35,-5.62,0.22,-63.84,1.17,5,7,-64.47,2.89,0.44,-1.46,-0.41,96,77,24,18
NIFTY,140,190,-70.07,-0.42,-64.6,-5.27,0.22,-63.84,1.17,5,7,-64.47,2.89,0.44,-1.46,-0.41,96,77,24,18
NIFTY,140,200,-70.89,-0.55,-65.0,-5.56,0.22,-63.84,1.17,5,7,-64.47,2.89,0.44,-1.47,-0.41,96,77,23,19
NIFTY,140,50,-67.77,-0.32,-53.86,-3.42,-10.18,-53.35,3.25,7,5,-53.98,4.8,0.6,-1.49,-0.39,91,82,16,26
NIFTY,140,60,-73.46,-4.19,-54.06,-4.46,-10.75,-54.49,2.95,6,5,-55.12,4.46,0.56,-1.52,-0.42,91,82,18,24
NIFTY,140,70,-68.18,-1.14,-55.84,-3.39,-7.81,-56.93,2.64,5,5,-57.57,4.02,0.51,-1.57,-0.39,98,75,22,20
NIFTY,140,80,-68.16,0.86,-59.66,-2.15,-7.22,-59.07,2.39,5,5,-59.7,3.3,0.49,-1.55,-0.39,98,75,22,20
NIFTY,140,90,-68.52,-0.14,-59.76,-2.54,-6.08,-60.77,2.02,5,5,-61.4,2.77,0.46,-1.56,-0.4,100,73,21,21
NIFTY,150,100,-70.9,-1.87,-61.1,-2.74,-5.19,-60.77,1.7,5,7,-61.4,3.12,0.44,-1.58,-0.41,100,73,20,22
NIFTY,150,110,-67.67,-1.66,-60.25,-2.98,-2.79,-60.77,1.38,5,8,-61.4,4.78,0.44,-1.51,-0.39,99,74,18,24
NIFTY,150,120,-67.61,-2.61,-61.13,-3.62,-0.26,-61.45,1.17,5,8,-62.08,4.45,0.44,-1.5,-0.39,99,74,21,21
NIFTY,150,130,-69.99,-3.63,-62.45,-4.04,0.14,-63.04,1.17,5,8,-63.68,4.07,0.44,-1.51,-0.4,98,75,21,21
NIFTY,150,140,-67.57,-0.1,-62.86,-4.84,0.23,-63.84,1.17,5,8,-64.47,3.66,0.44,-1.48,-0.39,98,75,23,19
NIFTY,150,150,-68.97,-0.99,-63.14,-5.08,0.23,-63.84,1.17,5,8,-64.47,3.16,0.44,-1.47,-0.4,97,76,23,19
NIFTY,150,160,-68.81,-0.17,-63.42,-5.46,0.23,-63.84,1.17,5,7,-64.47,2.89,0.44,-1.44,-0.4,96,77,24,18
NIFTY,150,170,-69.99,-0.46,-63.93,-5.84,0.23,-63.84,1.17,5,7,-64.47,2.89,0.44,-1.48,-0.4,97,76,23,19
NIFTY,150,180,-71.61,-1.06,-64.41,-6.38,0.23,-63.84,1.17,5,7,-64.47,2.89,0.44,-1.48,-0.41,96,77,23,19
NIFTY,150,190,-71.23,-0.77,-64.65,-6.04,0.23,-63.84,1.17,5,7,-64.47,2.89,0.44,-1.47,-0.41,96,77,23,19
NIFTY,150,200,-72.05,-0.9,-65.05,-6.33,0.23,-63.84,1.17,5,7,-64.47,2.89,0.44,-1.48,-0.42,96,77,22,20
NIFTY,150,50,-68.93,-0.67,-53.91,-4.18,-10.16,-53.35,3.25,7,5,-53.98,4.8,0.6,-1.51,-0.4,91,82,17,25
NIFTY,150,60,-74.61,-4.54,-54.11,-5.22,-10.73,-54.49,2.95,6,5,-55.12,4.46,0.56,-1.53,-0.43,91,82,18,24
NIFTY,150,70,-69.34,-1.49,-55.89,-4.16,-7.79,-56.93,2.64,5,5,-57.57,4.02,0.51,-1.59,-0.4,98,75,21,21
NIFTY,150,80,-69.32,0.51,-59.71,-2.92,-7.2,-59.07,2.39,5,5,-59.7,3.3,0.49,-1.57,-0.4,98,75,20,22
NIFTY,150,90,-69.68,-0.49,-59.81,-3.31,-6.06,-60.77,2.02,5,5,-61.4,2.77,0.46,-1.58,-0.4,100,73,20,22
NIFTY,160,100,-70.9,-1.72,-61.29,-2.72,-5.17,-60.77,1.7,5,7,-61.4,3.12,0.44,-1.58,-0.41,100,73,20,22
NIFTY,160,110,-67.67,-1.5,-60.44,-2.96,-2.77,-60.77,1.38,5,8,-61.4,4.78,0.44,-1.51,-0.39,99,74,18,24
NIFTY,160,120,-67.61,-2.45,-61.32,-3.6,-0.24,-61.45,1.17,5,8,-62.08,4.45,0.44,-1.5,-0.39,99,74,21,21
NIFTY,160,130,-69.99,-3.48,-62.64,-4.02,0.15,-63.04,1.17,5,8,-63.68,4.07,0.44,-1.51,-0.4,98,75,21,21
NIFTY,160,140,-67.56,0.05,-63.05,-4.82,0.25,-63.84,1.17,5,8,-64.47,3.66,0.44,-1.48,-0.39,98,75,23,19
NIFTY,160,150,-68.97,-0.84,-63.33,-5.06,0.25,-63.84,1.17,5,8,-64.47,3.16,0.44,-1.47,-0.4,97,76,23,19
NIFTY,160,160,-68.81,-0.02,-63.6,-5.44,0.25,-63.84,1.17,5,7,-64.47,2.89,0.44,-1.44,-0.4,96,77,24,18
NIFTY,160,170,-69.99,-0.31,-64.11,-5.81,0.25,-63.84,1.17,5,7,-64.47,2.89,0.44,-1.48,-0.4,97,76,23,19
NIFTY,160,180,-71.61,-0.9,-64.59,-6.36,0.25,-63.84,1.17,5,7,-64.47,2.89,0.44,-1.48,-0.41,96,77,23,19
NIFTY,160,190,-71.23,-0.62,-64.84,-6.02,0.25,-63.84,1.17,5,7,-64.47,2.89,0.44,-1.47,-0.41,96,77,23,19
NIFTY,160,200,-72.05,-0.75,-65.24,-6.31,0.25,-63.84,1.17,5,7,-64.47,2.89,0.44,-1.48,-0.42,96,77,22,20
NIFTY,160,50,-68.93,-0.52,-54.1,-4.16,-10.15,-53.35,3.25,7,5,-53.98,4.8,0.6,-1.51,-0.4,91,82,17,25
NIFTY,160,60,-74.61,-4.39,-54.3,-5.2,-10.72,-54.49,2.95,6,5,-55.12,4.46,0.56,-1.53,-0.43,91,82,18,24
