Underlying,Call TSL,Put TSL,Total Return,2021 Return,2022 Return,2023 Return,2024 Return,Max Drawdown %,Max Profit %,Consecutive Drawdown in Number,Consecutive Profit in Number,Consecutive Drawdown in %,Consecutive Profit iin %,Win Avg,Loss Avg,Total Avg,Win Count,Loss Count,No of Positive Months,No of Negative Months
NIFTY,100,100,30.38,12.17,8.07,-4.77,14.91,-2.26,3.58,6,6,-4.97,10.39,1.12,-0.9,0.17,95,84,26,16
NIFTY,100,110,25.93,10.73,6.73,-6.93,15.4,-2.39,3.37,4,6,-5.33,10.86,1.09,-0.94,0.14,96,83,23,19
NIFTY,100,120,23.16,9.88,7.14,-8.64,14.77,-2.5,3.25,5,6,-5.33,10.39,1.12,-0.87,0.13,90,89,23,19
NIFTY,100,130,19.3,13.53,5.1,-12.65,13.32,-2.65,3.38,6,6,-5.58,9.47,1.11,-0.89,0.11,89,90,23,19
NIFTY,100,140,21.69,12.03,5.18,-9.87,14.36,-2.76,3.38,6,6,-5.45,10.14,1.03,-0.87,0.12,93,86,24,18
NIFTY,100,150,23.17,14.36,3.66,-10.56,15.72,-2.33,3.38,6,7,-6.14,11.68,1.02,-0.9,0.13,96,83,25,17
NIFTY,100,160,30.21,15.06,6.5,-9.88,18.53,-2.53,3.99,7,7,-7.31,11.21,1.01,-0.89,0.17,100,79,26,16
NIFTY,100,170,30.34,14.51,10.3,-11.61,17.13,-2.79,4.18,7,7,-7.72,10.82,1.03,-0.95,0.17,101,78,27,15
NIFTY,100,180,32.27,15.11,10.04,-10.08,17.2,-3.1,4.18,7,7,-8.08,7.25,1.02,-1.02,0.18,105,74,29,13
NIFTY,100,190,36.41,14.32,11.67,-7.83,18.25,-3.41,4.18,7,6,-8.7,7.88,1.04,-1.01,0.2,106,73,28,14
NIFTY,100,200,38.83,12.82,12.33,-6.59,20.26,-3.73,4.18,5,6,-5.73,7.88,1.04,-1.04,0.22,108,71,29,13
NIFTY,100,50,39.99,21.0,8.04,2.52,8.44,-3.43,4.77,8,6,-5.31,12.48,1.42,-1.08,0.22,93,86,23,19
NIFTY,100,60,41.11,18.86,13.51,2.15,6.6,-3.67,4.55,6,5,-4.78,11.66,1.37,-1.0,0.23,93,86,25,17
NIFTY,100,70,37.04,14.11,13.85,2.4,6.67,-2.63,4.4,6,5,-4.52,6.51,1.31,-0.96,0.21,92,87,26,16
NIFTY,100,80,31.22,12.59,12.64,-0.46,6.45,-2.69,4.08,6,5,-5.34,6.15,1.23,-0.96,0.17,93,86,26,16
NIFTY,100,90,26.31,9.89,10.83,-3.0,8.58,-2.78,4.05,6,5,-4.11,5.23,1.17,-0.91,0.15,91,88,25,17
