Underlying,Call HSL,Put HSL,Total Return,2021 Return,2022 Return,2023 Return,2024 Return,Max Drawdown %,Max Profit %,Consecutive Drawdown in Number,Consecutive Profit in Number,Consecutive Drawdown in %,Consecutive Profit iin %,Win Avg,Loss Avg,Total Avg,Win Count,Loss Count,No of Positive Months,No of Negative Months
NIFTY,160,160,8.4,13.85,-4.58,-8.8,7.94,-4.6,2.32,6,9,-9.72,12.3,0.95,-1.3,0.05,107,72,19,23
NIFTY,160,170,13.8,13.08,-0.49,-7.11,8.32,-3.37,2.32,5,9,-7.39,12.97,0.96,-1.26,0.08,108,71,20,22
NIFTY,160,180,12.68,12.3,-0.21,-7.41,8.01,-3.37,2.32,5,9,-7.98,12.99,0.96,-1.31,0.07,109,70,19,23
NIFTY,160,190,12.3,11.31,0.33,-6.62,7.28,-3.51,2.32,5,9,-6.72,12.99,0.97,-1.33,0.07,109,70,18,24
NIFTY,160,200,13.6,12.15,0.18,-5.78,7.05,-3.71,2.32,5,9,-6.3,12.99,0.97,-1.32,0.08,109,70,18,24
NIFTY,160,50,-2.55,7.11,-6.0,-5.05,1.4,-6.18,2.83,6,6,-7.24,6.93,0.96,-1.27,-0.01,101,78,20,22
NIFTY,160,60,3.39,8.22,-4.47,-4.91,4.55,-6.25,2.83,6,8,-7.47,12.04,0.9,-1.31,0.02,108,71,22,20
NIFTY,160,70,3.57,8.83,-4.77,-8.69,8.2,-4.58,2.83,4,8,-7.99,13.29,0.92,-1.25,0.02,105,74,23,19
NIFTY,160,80,-2.12,5.81,-4.35,-12.91,9.33,-4.58,2.83,4,8,-8.07,13.42,0.89,-1.26,-0.01,104,75,20,22
NIFTY,160,90,-2.63,8.26,-6.63,-14.35,10.09,-4.58,2.28,5,8,-6.38,12.75,0.91,-1.21,-0.01,101,78,22,20
NIFTY,170,100,-5.2,7.62,-7.38,-13.85,8.41,-4.58,2.26,6,9,-7.29,12.76,0.93,-1.17,-0.03,97,82,19,23
NIFTY,170,110,-5.12,9.66,-7.82,-14.28,7.32,-5.27,2.26,9,9,-8.18,13.05,0.97,-1.11,-0.03,93,86,21,21
NIFTY,170,120,-2.39,12.79,-9.49,-11.44,5.75,-5.45,2.26,8,9,-9.1,12.71,0.94,-1.19,-0.01,99,80,22,20
NIFTY,170,130,-0.03,13.9,-9.02,-9.18,4.27,-5.61,2.32,6,8,-8.99,12.18,0.95,-1.23,-0.0,101,78,22,20
NIFTY,170,140,1.58,13.12,-9.33,-8.84,6.63,-5.01,2.32,6,8,-8.29,11.98,0.96,-1.28,0.01,103,76,20,22
NIFTY,170,150,6.66,12.67,-4.7,-8.84,7.52,-4.5,2.32,6,9,-9.25,11.8,0.96,-1.24,0.04,104,75,20,22
NIFTY,170,160,6.59,13.03,-5.18,-8.89,7.63,-4.6,2.32,6,9,-9.72,12.3,0.96,-1.31,0.04,106,73,19,23
NIFTY,170,170,11.98,12.26,-1.09,-7.21,8.01,-3.57,2.32,5,9,-7.39,12.97,0.96,-1.27,0.07,107,72,20,22
NIFTY,170,180,10.86,11.48,-0.81,-7.51,7.7,-3.57,2.32,5,9,-7.98,12.99,0.97,-1.32,0.06,108,71,19,23
NIFTY,170,190,10.48,10.49,-0.27,-6.72,6.98,-3.57,2.32,5,9,-6.72,12.99,0.98,-1.34,0.06,108,71,18,24
NIFTY,170,200,11.78,11.33,-0.41,-5.88,6.75,-3.71,2.32,5,9,-6.08,12.99,0.98,-1.32,0.07,108,71,18,24
NIFTY,170,50,-4.36,6.29,-6.59,-5.15,1.1,-6.18,2.83,6,6,-7.54,6.93,0.97,-1.28,-0.02,100,79,20,22
NIFTY,170,60,1.57,7.4,-5.06,-5.01,4.25,-6.25,2.83,6,8,-7.76,12.04,0.91,-1.32,0.01,107,72,22,20
NIFTY,170,70,1.76,8.01,-5.36,-8.79,7.9,-4.58,2.83,4,8,-8.28,13.29,0.93,-1.26,0.01,104,75,23,19
NIFTY,170,80,-3.94,4.99,-4.95,-13.01,9.02,-4.58,2.83,4,8,-8.37,13.42,0.9,-1.27,-0.02,103,76,20,22
NIFTY,170,90,-4.45,7.44,-7.22,-14.45,9.79,-4.58,2.28,5,8,-6.38,12.75,0.92,-1.22,-0.02,100,79,21,21
NIFTY,180,100,-5.24,7.28,-7.39,-13.96,8.83,-4.58,2.26,6,9,-7.29,12.76,0.94,-1.17,-0.03,97,82,20,22
NIFTY,180,110,-5.17,9.31,-7.83,-14.4,7.75,-5.27,2.26,9,9,-8.18,13.05,0.97,-1.11,-0.03,93,86,21,21
NIFTY,180,120,-2.44,12.45,-9.5,-11.56,6.18,-5.45,2.26,8,9,-9.1,12.71,0.94,-1.2,-0.01,99,80,22,20
NIFTY,180,130,-0.07,13.56,-9.03,-9.3,4.7,-5.61,2.32,6,8,-8.99,12.18,0.95,-1.23,-0.0,101,78,22,20
NIFTY,180,140,1.54,12.77,-9.34,-8.95,7.06,-5.01,2.32,6,8,-8.29,11.98,0.96,-1.29,0.01,103,76,20,22
NIFTY,180,150,6.61,12.33,-4.71,-8.95,7.95,-4.5,2.32,6,9,-9.25,11.8,0.96,-1.24,0.04,104,75,20,22
NIFTY,180,160,6.54,12.68,-5.19,-9.01,8.06,-4.6,2.32,6,9,-9.72,12.3,0.96,-1.31,0.04,106,73,19,23
NIFTY,180,170,11.94,11.92,-1.1,-7.33,8.44,-3.6,2.32,5,9,-7.39,12.97,0.97,-1.27,0.07,107,72,19,23
NIFTY,180,180,10.82,11.13,-0.82,-7.62,8.13,-3.6,2.32,5,9,-7.98,12.99,0.97,-1.33,0.06,108,71,19,23
NIFTY,180,190,10.43,10.15,-0.28,-6.84,7.41,-3.6,2.32,5,9,-6.72,12.99,0.98,-1.35,0.06,108,71,18,24
NIFTY,180,200,11.74,10.98,-0.43,-6.0,7.18,-3.71,2.32,5,9,-6.11,12.99,0.98,-1.33,0.07,108,71,18,24
NIFTY,180,50,-4.41,5.94,-6.61,-5.27,1.53,-6.18,2.83,6,6,-7.74,6.93,0.97,-1.29,-0.02,100,79,20,22
NIFTY,180,60,1.53,7.06,-5.08,-5.13,4.68,-6.25,2.83,6,8,-7.97,12.04,0.91,-1.33,0.01,107,72,22,20
NIFTY,180,70,1.71,7.66,-5.37,-8.91,8.33,-4.58,2.83,4,8,-8.49,13.29,0.93,-1.27,0.01,104,75,23,19
NIFTY,180,80,-3.98,4.65,-4.96,-13.12,9.45,-4.58,2.83,4,8,-8.57,13.42,0.9,-1.28,-0.02,103,76,20,22
NIFTY,180,90,-4.49,7.09,-7.23,-14.56,10.22,-4.58,2.28,5,8,-6.38,12.75,0.92,-1.23,-0.03,100,79,22,20
NIFTY,190,100,-5.83,6.65,-7.29,-14.04,8.86,-4.58,2.26,6,9,-7.29,12.76,0.93,-1.2,-0.03,98,81,20,22
NIFTY,190,110,-5.75,8.68,-7.73,-14.48,7.77,-5.27,2.26,9,9,-8.18,13.05,0.97,-1.14,-0.03,94,85,21,21
NIFTY,190,120,-3.02,11.82,-9.41,-11.63,6.2,-5.45,2.26,8,9,-9.1,12.71,0.94,-1.22,-0.02,100,79,22,20
NIFTY,190,130,-0.66,12.93,-8.93,-9.38,4.72,-5.61,2.32,6,8,-8.99,12.18,0.94,-1.26,-0.0,102,77,22,20
NIFTY,190,140,0.95,12.15,-9.25,-9.03,7.08,-5.01,2.32,6,8,-8.29,11.98,0.96,-1.31,0.01,104,75,20,22
NIFTY,190,150,6.02,11.7,-4.61,-9.03,7.97,-4.5,2.32,6,9,-9.25,11.8,0.95,-1.27,0.03,105,74,20,22
NIFTY,190,160,5.95,12.05,-5.09,-9.09,8.08,-4.6,2.32,6,9,-9.72,12.3,0.96,-1.34,0.03,107,72,19,23
NIFTY,190,170,11.35,11.29,-1.0,-7.4,8.46,-3.68,2.32,5,9,-7.39,12.97,0.96,-1.3,0.06,108,71,19,23
NIFTY,190,180,10.23,10.5,-0.72,-7.7,8.15,-3.68,2.32,5,9,-7.98,12.99,0.96,-1.36,0.06,109,70,19,23
NIFTY,190,190,9.85,9.52,-0.18,-6.92,7.43,-3.68,2.32,5,9,-6.72,12.99,0.98,-1.38,0.06,109,70,18,24
NIFTY,190,200,11.15,10.36,-0.33,-6.08,7.2,-3.71,2.32,5,9,-6.0,12.99,0.98,-1.36,0.06,109,70,18,24
NIFTY,190,50,-4.99,5.31,-6.51,-5.35,1.55,-6.18,2.83,6,6,-7.97,6.93,0.97,-1.31,-0.03,101,78,20,22
NIFTY,190,60,0.94,6.43,-4.98,-5.21,4.7,-6.25,2.83,6,8,-8.19,12.04,0.9,-1.36,0.01,108,71,22,20
NIFTY,190,70,1.12,7.03,-5.28,-8.98,8.35,-4.58,2.83,4,8,-8.71,13.29,0.92,-1.3,0.01,105,74,23,19
NIFTY,190,80,-4.57,4.02,-4.86,-13.2,9.47,-4.58,2.83,4,8,-8.8,13.42,0.9,-1.31,-0.03,104,75,21,21
NIFTY,190,90,-5.08,6.46,-7.14,-14.64,10.24,-4.58,2.28,5,8,-6.57,12.75,0.92,-1.25,-0.03,101,78,22,20
NIFTY,200,100,-6.89,6.51,-7.82,-14.43,8.86,-4.58,2.26,6,9,-7.29,12.76,0.93,-1.21,-0.04,98,81,20,22
NIFTY,200,110,-6.81,8.54,-8.26,-14.87,7.77,-5.27,2.26,9,9,-8.18,13.05,0.97,-1.15,-0.04,94,85,21,21
NIFTY,200,120,-4.08,11.68,-9.93,-12.03,6.2,-5.45,2.26,8,9,-9.1,12.71,0.94,-1.24,-0.02,100,79,22,20
