Underlying,Call TSL,Put TSL,Total Return,2021 Return,2022 Return,2023 Return,2024 Return,Max Drawdown %,Max Profit %,Consecutive Drawdown in Number,Consecutive Profit in Number,Consecutive Drawdown in %,Consecutive Profit iin %,Win Avg,Loss Avg,Total Avg,Win Count,Loss Count,No of Positive Months,No of Negative Months
NIFTY,100,100,8.57,-3.21,0.26,-0.18,11.7,-2.69,6.08,6,7,-5.11,7.14,0.73,-0.76,0.05,96,81,20,22
NIFTY,100,110,7.5,-1.42,0.19,-2.13,10.86,-2.52,5.98,6,7,-5.74,7.54,0.72,-0.74,0.04,95,82,21,21
NIFTY,100,120,3.88,-1.32,-1.01,-3.84,10.05,-2.78,5.89,5,5,-6.25,7.46,0.73,-0.76,0.02,93,84,20,22
NIFTY,100,130,-1.3,-3.05,-2.54,-4.41,8.71,-2.91,5.77,5,5,-6.4,7.21,0.7,-0.79,-0.01,93,84,20,22
NIFTY,100,140,-3.59,-2.82,-2.83,-5.5,7.56,-2.91,5.59,5,5,-5.06,6.91,0.67,-0.82,-0.02,95,82,20,22
NIFTY,100,150,-2.48,-0.62,-3.13,-4.97,6.25,-2.91,5.56,5,5,-5.06,6.85,0.67,-0.86,-0.01,98,79,23,19
NIFTY,100,160,-1.84,0.45,-4.34,-3.85,5.91,-2.91,5.35,5,5,-4.87,6.65,0.68,-0.85,-0.01,97,80,23,19
NIFTY,100,170,5.26,-0.1,1.65,-3.07,6.78,-3.0,5.31,5,5,-3.94,6.6,0.69,-0.81,0.03,99,78,24,18
NIFTY,100,180,10.51,0.08,6.67,-2.16,5.92,-3.0,5.04,5,8,-3.87,6.34,0.7,-0.83,0.06,103,74,25,17
NIFTY,100,190,12.92,0.86,8.82,-2.14,5.38,-2.35,4.98,5,8,-3.6,7.49,0.73,-0.8,0.07,101,76,25,17
NIFTY,100,200,18.24,1.58,9.66,0.56,6.44,-2.34,4.86,5,8,-3.4,7.49,0.73,-0.79,0.1,104,73,24,18
NIFTY,100,50,-4.14,-5.19,3.77,-8.05,5.34,-3.64,6.76,8,6,-8.2,10.49,1.05,-1.13,-0.02,90,87,19,23
NIFTY,100,60,-1.01,-6.84,5.24,-10.24,10.82,-3.72,6.68,6,6,-8.73,9.91,0.96,-1.05,-0.01,92,85,21,21
NIFTY,100,70,7.28,-5.86,3.76,-3.79,13.17,-3.72,6.48,9,7,-6.99,8.64,0.87,-0.97,0.04,97,80,20,22
NIFTY,100,80,7.31,-5.19,2.39,-1.84,11.95,-2.62,6.4,9,7,-5.83,8.03,0.85,-0.87,0.04,94,83,19,23
NIFTY,100,90,9.38,-3.48,0.45,-0.28,12.69,-2.45,6.28,11,7,-6.1,7.53,0.78,-0.79,0.05,95,82,21,21
NIFTY,110,100,10.72,-3.53,1.4,0.18,12.67,-3.18,6.08,6,7,-4.61,7.14,0.73,-0.78,0.06,98,79,20,22
NIFTY,110,110,9.65,-1.74,1.33,-1.77,11.82,-2.46,5.98,6,7,-5.17,7.54,0.72,-0.74,0.05,96,81,22,20
NIFTY,110,120,6.03,-1.64,0.13,-3.47,11.01,-2.68,5.89,5,7,-5.31,7.46,0.7,-0.78,0.03,97,80,21,21
NIFTY,110,130,0.85,-3.38,-1.4,-4.05,9.68,-2.7,5.77,5,7,-5.47,7.21,0.69,-0.79,0.0,95,82,21,21
NIFTY,110,140,-1.44,-3.14,-1.69,-5.14,8.52,-2.7,5.59,5,7,-4.27,6.91,0.65,-0.83,-0.01,98,79,21,21
NIFTY,110,150,-0.33,-0.94,-1.99,-4.61,7.21,-2.91,5.56,5,7,-4.48,6.85,0.64,-0.85,-0.0,101,76,23,19
NIFTY,110,160,0.31,0.13,-3.2,-3.49,6.87,-3.01,5.35,5,7,-4.9,6.65,0.65,-0.84,0.0,100,77,23,19
NIFTY,110,170,7.41,-0.42,2.79,-2.71,7.75,-3.15,5.31,5,7,-4.51,6.6,0.66,-0.82,0.04,103,74,25,17
NIFTY,110,180,12.66,-0.24,7.81,-1.8,6.88,-3.15,5.04,5,7,-4.17,6.34,0.67,-0.82,0.07,106,71,25,17
